word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
apt,adjective,The girl is apt to fly out in a rage so she has no friends.,這個女孩很容易發脾氣，所以她沒有朋友。,易於的；恰當的,appropriate; prone,improbable,apt 可聯想 ape（猩猩）：模仿對猩猩來說是很容易的事，因此聯想到「易於的」。,21,,5
aptitude,noun,He has shown a great aptitude for inventing things since he was very young.,他在很小的時候就表現出創造的卓越才能。,才能；傾向,ability; inclination,,apt 有「有……傾向、反應敏捷」的概念，-tude 是抽象名詞字尾，因此可聯想到才能、天賦、傾向。,21,,5
Arctic,noun,"With industrial growth, the whole world is endangered by pollution, including the Arctic.",隨著工業的發展，全世界都受污染的危險，包括北極圈。,北極圈；北極地帶,Antarctic,,arct 可聯想到 art（藝術），-ic 為名詞字尾；可想像北極是充滿藝術氣息的地方。,21,,5
arrogant,adjective,His mother told him not to be arrogant even though he was the best student in his class.,他媽媽告訴他，即使他是班上最好的學生也不願傲慢。,傲慢的；自大的；自負的,overbearing,humble; modest,ar- 可聯想到「到、向、對」，rog 可聯想到 rock（岩石）；可想像傲慢的人把自己看得像岩石一樣高。,21,,5
artifact,noun,We bought some artifacts from the souvenir store.,我們在紀念品店買了一些手工藝品。,人造物品；手工藝品,,,art 表「藝術」，fact 與「製作」相關；合起來可聯想為人工製作的物品、手工藝品。,21,,5
ascertain,verb,The police ascertained that the man had been murdered but they had no evidence.,警方確定那個男子是被謀殺的，但是沒有證據。,查明；確定,determine; find out,,as- 可表「到、在」，certain 表「確定的」；合起來表示使事情變得確定，因此是查明、弄清楚。,21,,4
aspiration,noun,She had serious aspirations of a career in politics but her father forced her to give up that idea.,她有從政的抱負，但她父親強迫她放棄那個主意。,渴望；抱負；志氣,ambition; dream,,as- 可聯想到「到」，spir 有「呼吸、精神」的概念；把精神朝目標伸展，可聯想到渴望、抱負。,21,,5
assert,verb,"If you think you are right, you should assert your view of this matter.",如果你認為你是對的，你應該堅持自己對此事的看法。,斷言；堅持,affirm; allege,,as- 可表「一起」，sert 有「加入、插入」的概念；把自己的主張加入討論並堅持，就是 assert。,21,,5
assess,verb,Teachers should not assess students only by the results of their exams.,老師不能僅以考試成績來評估學生。,評估；評價,estimate; evaluate,,字首 as- 有「向、加強」的作用，可把 assess 聯想到對人或事物作出估價、判斷。,21,22,4
assessment,noun,This online career assessment can identify how one best fits in the workplace.,線上工作評估可以確定一個人的最佳行業。,估價；評估,measurement; judgment,,由 assess（估定、評價）加 -ment 形成名詞，表示估價、評估。,22,,5
assignment,noun,"If you finish your assignment early, you can have your holiday early.",如果你提前完成任務，就可以提前休假。,任務；分配,appointment; mission,,由 assign（分配、分派）加 -ment 形成名詞，表示分配，也引申為任務。,22,,3
assured,adjective,You can be assured that we will pay you next week.,你放心，我們會在下星期還錢給你。,確信的；放心的,positive; confirmed,uncertain,as- 可表「一起、加強」，sure 是「肯定」；加 -d 形成形容詞，可聯想到十分肯定、確信。,22,,5
athletics,noun,He doesn't do well in his studies but he excels in athletics.,他功課不太好，但是在運動方面很傑出。,體育運動；競技,sport,,athl- 有「體育、運動」的概念，-ics 為名詞字尾，因此 athletics 指體育運動、競技。,22,,5
attain,verb,"After 10 years of war, the country attained its independence in 1983.",在十年戰爭後，該國於一九八三年獨立。,達到；獲得,accomplish; achieve,fail,at- 可聯想到「到」，tain 有「拿住」的概念；到達並拿到目標，就是達到、獲得。,22,,4
attendance,noun,The attendance at the football game was better than expected.,到場觀賞足球比賽的人比預期多。,到場；護理；侍候,presence,absence,at- 可表「對、向」，tend 有「傾向」的概念；把注意力傾向某事或某人，引申為到場、照料。,22,,4
attribute,verb,Don't attribute such a dirty motive to him for he is a good man.,不要把這麼齷齪的動機歸咎於他，因為他是好人。,歸因於；歸咎於,ascribe; assign,,at- 表「向、對」，tribute 有「給予」的概念；把原因給予某人或某事，即歸因於、歸屬於。,22,,5
authorize,verb,The president has authorized me to act on his behalf while he is away.,總裁已全權委託我於他不在的時候代表他。,全權委託；允許,empower,forbid; prohibit,由 authority（權力）可聯想到 authorize；具有權力去允許或授權，就是 authorize。,22,,5
automation,noun,"Currently, for manufacturing companies, the purpose of automation is not only to increase productivity.",目前對製造業公司來說，自動化的目的不僅是提高生產力。,自動化；自動操作,,,由 automate（使自動化）去掉 e 加 -ion 形成名詞，表示自動化、自動操作。,22,23,4
autonomy,noun,"Hong Kong is now part of China, but it has been given autonomy for 50 years.",香港現在是中國一部分，但之前已有五十年自治。,自治；獨立,self-direction; independence,,auto- 表「自身」，nom 有「法則」的概念；自己依自己的法則治理，可聯想到自治、自治權。,23,,3
