word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
lofty,adjective,John is so lofty that he thinks he is better than anyone else.,,,高的；高超的；傲慢的,,,,341,,4
longevity,noun,"As is known to all, enough sleep contributes to longevity.",,,長命；長壽；壽命,,,,341,,4
longitude,noun,Every place on the same meridian has the same longitude.,,,經度,,,,341,,4
loom,verb,The mountainous island in the distance loomed on the horizon.,,,隱約地出現；陰森地逼近,,,,341,,4
loot,verb,The enemies looted the village.,,,搶劫；洗劫；強奪,,,,341,,4
lottery,noun,He won 500 pounds in the lottery.,,,彩票；摸彩；抽獎,,,,341,,4
lubricate,verb,The engine will seize up if you don't lubricate it.,,,使滑潤；上潤滑油,,,,341,,4
lucrative,adjective,He studied the Chinese market to find potential for lucrative investment.,,,賺錢的；有利可圖的,,,,341,,5
lumber,verb,The old man lumbered upstairs.,,,笨重地行動,,,,341,,4
luminous,adjective,You can see there are many luminous road signs along the road.,,,發光的；光亮的,,,,341,342,4
lump,verb,Stir the oatmeal well to prevent it lumping.,,,使成團；結塊；合在一起,,,,342,,4
lunatic,noun/adjective,She is a lunatic to go out in this weather.,,,極蠢的；瘋狂的,,,,342,,4
lynch,verb,He was lynched by a mob.,,,以私刑處死,,,,342,,5
magistrate,noun,Many local magistrates were removed from office.,,,地方官員；治安法官,,,,342,,5
magnitude,noun,The Richter scale measures the magnitude of earthquakes.,,,量；大小；巨大,,,,342,,4
mammal,noun,Everyone knows the fact that whales are mammals.,,,哺乳動物,,,,342,,4
maneuver,verb,She maneuvered herself out of the quarrel.,,,用計謀；實施調動；進行演習,,,,342,,5
marginal,adjective,Father's death put the family into a marginal standard of living.,"After their father's death, the family had to survive on a marginal income.",,臨界的；最低限度的；不重要的,,,,342,,4
marshal,noun,They advertised for a good marshal for their wedding ceremony.,The marshal led the parade through the town.,,司儀；警官局長；元帥,,,,342,,5
martial,adjective,The soldiers sang martial songs and rushed toward the enemy.,,,戰爭的；軍事的,military,,,343,,5
marvel,verb,We all marveled at how he survived the flood.,,,充滿驚奇；感到困惑；茫然不解,wonder,,,343,,4
massacre,noun/verb,"During World War II, many villagers were massacred.",,,屠殺；殘殺,butcher,,,343,,5
massage,noun,You must be tired; a massage may be good for you.,,,按摩；推拿,,,,343,,3
mastery,noun,The mastery of karate is not an easy task.,,,支配；統治；精通,dominance; governance,,,343,,5
materialism,noun,"In today's society, materialism is practiced by most people.",,,唯物論；唯物主義,,idealism,,343,,5
mattress,noun,Sleeping on a mattress is not always good for your health.,,,床墊；空氣墊,,,,343,,4
measurement,noun,My waist measurement increased in the last year.,,,尺寸；長度；三圍,size; length,,,343,,5
mechanism,noun,The mechanism of learning spoken English is largely that of continuous repetition.,,,機械作用；辦法；途徑,movement; way,,,343,,3
medication,noun,Medication is not always the best way.,,,藥物治療；藥物,medicine; treatment,,,344,,5
mermaid,noun,Are mermaids for real or are they just a myth?,,,美人魚,,,,344,,5
metallic,adjective,Zinc is a metallic element.,,,金屬的,,wooden,,344,,4
metaphor,noun,A white bird is the metaphor of freedom.,A white bird is a metaphor for freedom.,,隱喻；象徵,allegory; figure of speech,,,344,,3
metric,adjective,The metric system is adopted in this country.,The metric system is used in this country.,,公制的,,,,344,,5
metropolitan,adjective,Many people are walking in the crowded metropolitan streets.,,,大都市的,municipal,,,344,,5
mileage,noun,This tire will give very good mileage.,,,英里數；行駛哩數,,,,344,,3
milestone,noun,The invention of the car was a milestone in the history of man.,,,里程碑；劃時代的事件,landmark,,,344,,5
militant,adjective,He made one of his most forceful militant speeches in order to gain support for the war.,,,好戰的；有戰鬥性的；激進的,aggressive; fighting,,,344,,5
militia,noun,A lot of people gathered to form a militia to protect their town.,,,民兵；國民軍,army,,,344,345,4
millimeter,noun,The army often uses the millimeter wave radar in war.,The army often uses millimeter-wave radar in war.,,公釐；毫米,,,,345,,3
mimic,verb,The boy mimicked his father's voice.,,,模仿,copy; imitate,,,345,,5
miniature,noun,The miniature of the mansion looks very beautiful.,,,縮小的模型；縮圖；縮影,portrait,,,345,,5
minimal,adjective,"Fortunately, the storm only did minimal damage to the farmer's crop.",,,最小的；極微的,tiny,maximal,,345,,5
ministerial,adjective,The ministerial party of our country is the Liberty Party.,The ministerial committee met to discuss the proposal.,,部長的；內閣的；政府的,cabinet,,,345,,4
miraculous,adjective,It's miraculous that they managed to escape.,,,令人驚嘆的；神奇的,extraordinary; incredible,,,345,,3
miscarriage,noun,She had a miscarriage after going to the gym.,,,失敗；誤送；流產,abortion,,,345,,3
mischievous,adjective,He is a mischievous but lovable child.,,,淘氣的；有害處的,naughty,,,345,,5
miser,noun,The miser insists on going Dutch even when he's dining with his girlfriend.,,,吝嗇鬼；守財奴,moneygrubber,,,345,346,5
mold,noun/verb,Wax is molded into candles.,,,模具；模造；塑造,shape; form,,,346,,4
molecule,noun,A molecule is made up of atoms.,,,小顆粒；分子,dot,,,346,,5
momentum,noun,The struggle for peace is gaining momentum day by day.,,,氣勢；衝力；動力,force; impetus,,,346,,5
monetary,adjective,His mother was in charge of all monetary matters of the household.,,,金融的；貨幣的；財政的,financial; fiscal,,,346,,5
monopoly,noun,Tobacco is a government monopoly in China.,,,壟斷；獨佔；專利,possession; domination,,,346,,4
missionary,noun,He was sent to England as a missionary.,,,傳教士；傳教的,,,,346,,4
mobilize,verb,The volunteers mobilized as soon as they were called to duty.,,,動員；調動,rally; align,,,346,,4
modernization,noun,The modernization of the agriculture was pushed over a 10-year period in our country.,The modernization of agriculture was carried out over a ten-year period in our country.,,現代化；現代化的事物,novelty,,,346,,5
modernize,verb,They are determined to modernize their factory as soon as possible.,,,使現代化,innovate,,,346,,5
monotonous,adjective,The monotonous music put me to sleep.,,,單調的；無變化的；無聊的,tiresome; humdrum,,,347,,5
monotony,noun,I don't like the monotony of work on the assembly line.,,,單調；無變化；千篇一律,tedium; uniformity,,,347,,5
monstrous,adjective,Your behaviour in public is monstrous.,,,畸形的；怪異的,deformed,,,347,,3
morale,noun,Our army recovered its morale and fighting power.,,,士氣；鬥志,spirit; enthusiasm,,,347,,5
mortar,noun,They are doing artillery fire training delivered by a mortar.,They are doing artillery fire training with a mortar.,,砲缽；迫擊砲,,,,347,,5
motherhood,noun,She finds motherhood very rewarding because her son is outstanding.,,,母性；母親的身分,,,,347,,3
mount,verb,The man quickly mounted his horse and rode away.,,,攀登；爬上；騎上,rise; ascend,descend,,347,,3
mounted,adjective,There is a woman mounted police in the county.,There is a mounted policewoman in the county.,,騎馬的；架設好的,,,,347,,5
mouthpiece,noun,The magazine was only a mouthpiece of certain rich people.,,,代言人；喉舌,spokesman,,,347,,4
mower,noun,He got a new mower for as cheap as dirt.,He got a new mower dirt-cheap.,,刈草機；收割機,,,,347,,3
multitude,noun,Our party must try to satisfy the needs of the multitude.,,,群眾；大批；一大群人,crowd; multiplicity,,,348,,5
municipal,adjective,He works in a municipal hospital.,,,市的；市政的；市立的,civic; metropolitan,,,348,,5
mustache,noun,He grew a mustache when he was 18 years old.,,,鬍鬚；鬍子,,,,348,,5
mustard,noun,She put a dash of mustard on the dish.,,,芥末,,,,348,,4
mute,adjective,"The man sat mute, offering nothing in his own defense.",,,沉默的；一時說不出話的,silent,talkative,,348,,5
mythology,noun,There are many beautiful legends in Chinese mythology.,,,神話；神話學,,,,348,,5
nag,verb,Don't nag me all day long!,,,使煩惱；困擾；不斷嘮叨,pester; annoy,,,348,,5
nanny,noun,The couple hires a nanny to live in because they both go out to work.,The couple hires a live-in nanny because they both go out to work.,,保姆,baby-sitter,,,348,,4
necessitate,verb,"It's an unpopular measure, but the situation necessitates prompt action.",,,使成為必需；需要；迫使,demand; require,,,348,,4
negligible,adjective,Losses in your business this year seemed to be negligible.,,,無關緊要的；無足輕重的,trifling,,,349,,4
neon,noun,A flower was clearly outlined in the light of the neon lamp.,,,霓虹燈,,,,349,,5
newlywed,noun,A lot of congratulations showered on the newlyweds.,,,新婚的人；新婚夫婦,,,,349,,3
newsreel,noun,The newsreel almost finished when we got to the cinema at 8.30 p.m.,The newsreel had almost finished when we got to the cinema at 8:30 p.m.,,新聞影片,,,,349,,5
nibble,verb,Household expenses and rent nibbled away at the money they had saved.,,,一點點地咬；慢慢啃,bite,,,349,,5
nick,verb,A sliver of glass nicked the child's hand.,,,刻痕於；弄傷,,,,349,,4
nickel,noun,A nickel is a US coin worth five cents.,,,鎳；5分錢幣,,,,349,,5
nostril,noun,He often complains about his wide nostrils to others.,,,鼻孔,,,,349,,5
notation,noun,"The teacher wishes you to read a book with a pencil in your hand, for he wishes you to make certain notations or to write answers to particular questions.",,,記號；標誌；註釋,,,,349,,3
notwithstanding,adverb,"A lot of people told me not to try, but I went ahead notwithstanding.",,,儘管；還是,however; nevertheless,,,349,350,5
novice,noun,She's a complete novice as a journalist.,,,新手；初學者,beginner; newcomer,,,350,,4
nucleus,noun,This concept is at the nucleus of her theory.,,,核；核心,center; core,,,350,,3
nuisance,noun,He was nothing but a nuisance. You must be glad to be rid of him.,,,討厭的人事物；麻煩事,annoyance; trouble,,,350,,5
numerical,adjective,Please put these invoices in numerical order.,,,數字的；用數字表示的,mathematical,,,350,,5
oar,noun,In dragon boat rowing each person has one oar.,,,槳,,,,350,,3
oasis,noun,The village was an oasis of prosperity in a desert of poverty.,,,綠洲；使人愉快的事物,greenland,,,350,,5
obituary,noun,He specially writes obituaries for the local newspaper.,,,訃告,,,,350,,4
obscene,adjective,"I'm not easily shocked, but that report is really obscene.",,,淫穢的；可憎的,filthy,decent,,350,,5
