word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
sturdy,adjective,They met with sturdy resistance.,他們遇到了頑強的抵抗。,經久耐用的；堅定的；健壯的,hardy; stalwart,frail; weakly,可與 study 聯想：有 sturdy 的體魄才能長久學習。,141,,5
sub,verb,I had to sub for the nurse who was absent.,我不得不代替缺席的護士。,當替身；替代,substitute; fill in,,sub- 常表示「下面、低下」，sub 作動詞可表示替代、當替身。,141,,3
subjective,adjective,I knew my arguments were subjective.,我知道我的論點很主觀。,主觀的；個人的,objective,,由 subject（主體、主觀）加 -ive 形成形容詞，因此表示主觀的、個人的。,141,,5
submit,verb,"We might lose the fight, but we will never submit.",我們也許會打輸，但我們絕不會投降。,屈服；投降；提交,obey; resist,,sub 表「下」，mit 表「送」，可聯想送到下面而屈服，因此表示屈服、投降，也可表示提交。,141,,4
subordinate,verb,The girl who subordinated passion to reason felt very sorry later.,那個使情感服從於理智的女孩後來感到非常後悔。,使隸屬；使服從,subdue,,sub 表「下」，ordinate 表「命令、次序」，合起來表示使處於下位，因此引申為使隸屬、使服從。,141,,5
subsequent,adjective,Subsequent events proved that she didn't tell us the truth.,後來發生的事證明她沒有告訴我們實情。,後來的；隨後的,after; consequent,,sub- 可表「後」，sequ 表「跟隨」，-ent 為形容詞字尾，因此表示後來的、隨後的。,141,,5
subsidize,verb,Retired athletes are subsidized by the government.,退役運動員享有政府補助。,津貼；補助；資助,back; finance,,sub- 表「下」，sid 有「坐」的聯想，加 -ize 成動詞，可聯想給予支持，因此表示津貼、補助、資助。,141,,3
substantial,adjective,"After 3 months of hard work, he has made substantial progress.",經過三個月的辛勤工作，他有實質的進步。,實質的；真實的；重大的,real; actual,,由 substance（物質、實體）去 e 加 -ial 形成形容詞，因此表示實質的、真實的、重大的。,141,,4
subtle,adjective,He didn't notice the subtle change in her attitude.,他沒注意到她的態度發生微妙的變化。,微妙的；難捉摸的；精巧的,delicate,,sub- 表「下」，可聯想 subtle 是細微、不易察覺的，因此表示微妙的、難捉摸的。,141,,5
succession,noun,A succession of failures didn't discourage him.,一連串的失敗沒有使他氣餒。,連串；系列,sequence,,success 加名詞字尾 -ion，可聯想事情一件接一件發生，因此表示連串、系列。,142,,5
summon,verb,The man summoned up his courage and asked for the girl's hand.,那男人鼓起勇氣向女孩求婚。,召喚；召集,muster; rally,,summon up 常表示「鼓起、召集」，可聯想把勇氣召集起來。,142,,5
sunshine,noun,They sat in the park enjoying the sunshine.,他們坐在公園裡享受陽光。,陽光；晴天,sunlight; sun,,sun 表太陽，shine 表光亮，合起來表示陽光。,142,,4
