word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
promptly,adverb,He promptly forgot about all the unpleasantness.,他立即把那不愉快的事忘得一乾二淨。,敏捷地；立即地,immediately; quickly,,prompt 表「立刻的；敏捷的」，-ly 為副詞字尾，因此表示敏捷地、立即地。,116,,5
prone,adjective,His wife is prone to having headaches.,他的妻子很容易頭痛。,傾向的；易於……的,inclined,,可與形似字 prune 聯想：prune 花草時一不小心就 prone 割到手。,116,,3
pronoun,noun,"Words such as “she”, “what”, and “something” are pronouns.",像 she、what、something 等一類的字是代名詞。,代名詞,,,pro- 可表「代、代理」，noun 表「名詞」，合起來表示代替名詞的字。,116,,5
prop,noun,The boy propped his bicycle against the wall.,那個男孩把他的單車架起來靠在牆上。,架；擱；支撐,bolster; brace,,pro- 表「向前」，可聯想把物體向前支撐住，因此有架、擱、支撐之意。,116,,5
propel,verb,He is propelled by ambition.,他受到野心的驅使。,推動；驅策；激勵,drive; push,,pro- 表「向前」，pel 表「推」，合起來表示向前推，因此引申為推動、驅策、激勵。,116,,4
prosecute,verb,He was prosecuted for arson.,他因縱火罪被起訴。,起訴；告發,accuse,,pro- 表「向前」，sequ 表「隨之而來」，聯想檢察官跟隨嫌犯向前查案，因此表示起訴、告發。,116,,5
prospect,noun,She rejoiced at the prospect of going on a trip.,她對即將去旅行高興萬分。,指望；預期,anticipation; expectation,,pro- 表「向前」，spec 表「看」，合起來有向前看之意，因此表示指望、預期。,116,,3
prospective,adjective,He is her prospective father-in-law.,他是她未來的公公。,預期的；未來的,expected; anticipated,,pro- 表「向前」，spec 表「看」，-ive 為形容詞字尾，因此表示預期的、未來的。,116,,5
prototype,noun,He looked at the prototype of misery.,他看起來像是坎坷人生的典型。,原型；典型；範例,criterion; sample,,proto- 表「最初的、原始的」，type 表「模型」，合起來表示原型、典型。,116,,5
provided,conjunction,"Provided that there is no objection, we shall hold the meeting next Monday.",假如無人反對，我們就在下週一開會。,假設；假如,if,,pro- 可表「先」，vid 表「看」，聯想先看看如何，因此引申為假設、假如。,116,,5
provoke,verb,His peremptory tone of voice provoked everybody.,他那專橫的口氣激怒了大家。,挑釁；煽動；激怒,anger; vex,appease; calm,pro- 表「前面」，vok 表「喊」，聯想在別人面前喊叫而激怒對方，因此表示激怒、挑釁。,117,,5
