word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
conspicuous,adjective,My roommate is always conspicuous because of her queer way of dressing.,我室友的奇異裝扮經常引人注目。,顯而易見的；引人注目的,eminent; obvious,inconspicuous,conspicuous 指很顯眼、引人注意。,291,,3
conspiracy,noun,They were arrested for conspiracy to overthrow the government.,因為他們密謀推翻政府所以被逮捕了。,陰謀；共謀；陰謀集團,collusion; intrigue,,conspiracy 指共謀或陰謀。,291,,5
constable,noun,The man standing beside the red car is a constable.,站在那輛紅色小汽車旁邊的人是一名警官。,治安官；警官；巡官,policeman,,constable 指警官、治安官。,291,,5
constituency,noun,The legislator will have to answer to his constituency for his actions.,立法委員必須向他的選民回答他的作法。,選民；擁護者；贊助者,,,constituency 可指選區或選民群體。,291,,5
constitutional,adjective,They refused to put the new law into effect because it was not constitutional.,因為這項新法律不符合憲法，所以他們拒絕使它生效。,生來的；本質的；憲法的,congenital,autocratic,constitutional 指憲法的，也可指本質的。,291,,3
consultation,noun,The secretary told me her boss was in consultation and couldn't come to the phone.,秘書告訴我她的老闆正在商議事情，抽不出身接電話。,商議；會議；會診,conference; deliberation,,consultation 指商議或會診。,291,,4
contagious,adjective,She fell in love with a man who had a contagious disease.,她愛上了一個有傳染性疾病的男人。,傳染性的；會傳播的；有感染力的,catching; infectious,,contagious 指會傳染的。,291,,5
contaminant,noun,The factory which discharged contaminants into the sea was closed.,那家向大海排放污染物的工廠被關閉了。,污染物；致污物,contamination,,contaminant 指污染物。,291,,5
contaminate,verb,We can't eat the food which has been contaminated by flies.,我們不能吃被蒼蠅弄髒的食物。,弄髒；使污染,infect; pollute,,contaminate 指使受污染。,291,292,4
contemplation,noun,"She seemed lost in contemplation, sitting there for 2 hours without a word.",她似乎已陷入忘我的沉思中，坐在那兒一句話不說已經兩個小時了。,沈思；深思熟慮,thoughtfulness,,contemplation 指沉思。,292,,5
contingent,adjective,Whether or not they arrive on time is contingent on the weather.,他們能否準時到達要以天氣而定。,視情況而定的；不一定的；偶然發生的,uncertain,certain; inevitable,contingent on 表取決於。,292,,5
continuity,noun,We must ensure continuity of food and medical supplies to the people in the stricken region.,我們應該確保持續提供食物和藥物給災區人民。,連續性；持續性；一連串,continuation; persistence,,continuity 指持續、連續。,292,,5
contradictory,adjective,You said his remark was contradictory to the truth but do you know the truth?,你說他的說法與事實相矛盾，但你瞭解事實真相嗎？,矛盾的；對立的；好反駁的,ambivalent,consistent,contradictory to 表與……矛盾。,292,,3
contrive,verb,Anyone who contrives a way of solving the problem will be rewarded.,任何設想出解決問題方法的人都會得到獎勵。,設計；策畫；圖謀,invent; scheme,,contrive 指設計、想出辦法。,292,,4
controversial,adjective,He said religion was always a controversial topic.,他說宗教向來是一個有爭議的話題。,爭論的；可疑的,contradictory; contentious,,controversial 指有爭議的。,292,,5
convene,verb,Top leaders of 3 nations convened in a friendly atmosphere.,三國的高層領袖在友好的氣氛中會談。,集會；召集；傳喚,assemble; gather,,convene 指召集或集會。,292,,5
converge,verb,Thousands of people converged on the city for the big game.,成千上萬的人聚集在這個城市，觀看這場盛大的比賽。,會合；聚集,meet,diverge,converge 指向一處聚集。,292,,3
convertible,adjective,She wants to buy a convertible sofa which can be converted into a bed.,她想買一張可變成床的轉換式沙發。,可轉換的；可改變的,translatable; transmutable,,convertible 指可轉換、可改變。,293,,5
convict,verb,"Convicted of murder, the man's bail was refused.",他因為被判謀殺罪，所以不能被保釋。,判……有罪；判決；使認罪,sentence,absolve; acquit,convict 可作動詞指判罪。,293,,5
conviction,noun,She expressed her intentions with conviction.,她有信心地表達她的意圖。,定罪；信念；確信,assurance; certainty,acquittal; uncertainty,conviction 可指信念或定罪。,293,,3
convincing,adjective,Your explanation sounds convincing but I can tell that you lied.,你的解釋聽起來很有說服力，但是我知道你在說謊。,有說服力的；令人信服的,forceful,,convincing 指有說服力的。,293,,4
convoy,noun,The general sent a convoy to scout the town before entering it.,那位將軍在進入該城之前派一支護送部隊去偵察。,運送；護送部隊,,,convoy 指護送隊伍。,293,,5
coordinate,verb,"If they had coordinated their efforts, the company would not have gone under.",如果他們同心協力，公司也不致破產。,合作；協力；調和,harmonize; correspond,,coordinate 指協調合作。,293,,3
cordial,adjective,We appreciated the cordial welcome given by the entrepreneur very much.,我們很感謝主人所給予的熱忱歡迎。,熱忱的；友好的；真摯的,hearty; sincere,unfriendly,cordial 指真誠友好的。,293,,5
