word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
enact,verb,Be it further enacted that every citizen has a right to vote including women.,,,制定；頒布；上演,,,,311,,4
encyclopedia,noun,This encyclopedia of chemistry is a mine of information.,,,百科全書；大全,,,,311,,4
endorse,verb,I am afraid I can't endorse your proposal.,,,背書；簽署；批准；贊同,,,,311,,4
energize,verb,The man who energized an industry was a great guy.,Her leadership energized the entire industry.,,供給能量；激勵；使精力充沛,,,,311,,4
ensue,verb,He spent his salary the first week and a lean month ensued.,,,接著發生；接踵而來；因……而產生,,,,311,,5
entail,verb,He wants to find a job which doesn't entail a lot of hard work.,,,必需；使承擔,,,,311,,5
entity,noun,Only those who manage to preserve their entity and individuality can survive in this competitive world.,The company remains a separate legal entity.,,實體；存在；本質,,,,311,,5
entrepreneur,noun,"Unexpectedly, this entrepreneur succeeded in this risky business.",,,企業家；創業人,,,,311,,5
envisage,verb,She envisaged that they would eventually be together.,,,想像；設想,,,,312,,5
envoy,noun,They extended the special envoy a warm welcome.,,,使者；外交使節,,,,312,,4
enzyme,noun,It is said that washing powders containing enzymes can remove stains more efficiently.,,,酵素,,,,312,,4
epidemic,noun/adjective,The influenza epidemic has frightened many people.,,,流行病；傳播,,,,312,,4
episode,noun,Winning the match that year was an important episode in her life.,,,一個事件；一段經歷；插曲,,,,312,,4
equate,verb,It is wrong to equate passing examinations with being educated.,,,使相等；視為同等,,,,312,,4
equation,noun,"In order to maintain their military equation, the two countries are going to have a talk next week.",The two countries are going to hold talks to maintain the military balance between them.,,等式；方程式；平衡,,,,312,,5
equilibrium,noun,"To bring the crisis to an end, the equilibrium of supply and demand should be maintained first.",The market is moving toward an equilibrium between supply and demand.,,平衡；均勢；平靜,,,,312,,5
erroneous,adjective,It's erroneous to have complete faith in what the book says.,,,錯誤的；不正確的,,,,312,,4
escalate,verb,"We cannot surrender on this issue; otherwise, they will escalate their demands.",,,擴大；升高；增強,,,,313,,5
escort,verb,"He wanted to escort her home, but she declined.",,,護送；護衛；陪同,,,,313,,4
evacuate,verb,The civilians had been evacuated from the city before the war broke out.,,,疏散；撤出；排泄,,,,313,,4
evacuation,noun,Evacuation had begun due to the rise of the flood water.,,,疏散；排泄；排泄物,,,,313,,4
evaporate,verb,Her anger evaporated after he apologized.,,,使蒸發；使消失,,,,313,,4
evaporation,noun,Water is removed from the surface of the Earth to the atmosphere by evaporation.,,,蒸發；消散,,,,313,,4
evoke,verb,Don't always see films that evoke old memories.,Don't keep watching films that evoke painful memories.,,喚起；引起,,,,313,,5
exaggerated,adjective,Don't have an exaggerated opinion of yourself.,,,誇張的；言過其實的；過大的,,,,313,,4
exceedingly,adverb,We found out that she was exceedingly fond of singing.,,,非常地；極度地,,,,313,,4
excessive,adjective,It is considered that excessive smoking tends to cloud the brain.,,,過度的；過分的；極度的,,,,314,,4
exclusively,adverb,He's employed exclusively as a driver.,,,專門地；專有地；獨佔地,,,,314,,4
exemplify,verb,The students asked the teacher to exemplify the use of the words again.,,,例證；例示,,,,314,,5
exempt,verb/adjective,Good students are exempted from taking the entrance exam.,,,免除；豁免,,,,314,,4
exert,verb,You have to exert yourself more if you want to fulfill your dream.,,,盡力；發揮；施加,,,,314,,4
exotic,adjective,I smelled an exotic aroma from the cooking.,,,奇特的；外來的；外國產的,,,,314,,4
expedition,noun,You had better carry out the general's orders with all possible expedition.,,,遠征；考察；迅速；敏捷,,,,314,,5
