word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
stalemate,noun/verb,It's reported that negotiations have reached a stalemate.,,據報導談判陷入了僵局。,僵持狀態；陷於困境,,,"stalemate 可表示僵局，也可作動詞表示使陷入僵局；三態 stalemate, stalemated, stalemated。",241,,5
stampede,noun/verb,Please think it over and don't be stampeded into buying the house.,,請想清楚了，不要一時衝動買下這棟房子。,衝動行事；驚逃,flight; rush,,"stampede 可指驚逃、蜂擁，也可作動詞表示迫使匆忙行動；三態 stampede, stampeded, stampeded。",241,,4
status,noun,"In fact, some people are after wealth and status.",,事實上，有些人追求財富和地位。,地位；身分；狀況,position; rank,,status 指地位、身分或狀況。,241,,3
stick,noun/verb,"Generally speaking, some children are fond of the sticks of candy. We stuck the posters all over the walls.",,一般而言，有些孩子喜歡棒棒糖。我們把海報貼得滿牆都是。,枝；杆；手杖；刺；貼；堅持,paste; persevere,divide; part,"stick 可作名詞或動詞；動詞三態 stick, stuck, stuck。",241,,5
stock,noun/verb,It's said that the book is out of stock. This shop stocks all sizes.,,據說該書已無庫存。這家商店備有各種尺碼。,貯存；存貨；股票；庫存,inventory; store; stockpile,,"stock 可作名詞或動詞；動詞三態 stock, stocked, stocked。",241,,5
storm,noun/verb,"Generally speaking, the clouds threatened a big storm. ""Get out of here!"" she stormed, for her son's talking back.",,一般而言，烏雲表示暴風雨即將來臨。她因兒子頂嘴而對他大發脾氣道：「滾出去！」,暴風雨；激動；爆發；猛攻；怒罵；起風暴,tempest; fume; rage; raid,peace; calm; defend,"storm 可作名詞或動詞；動詞三態 storm, stormed, stormed。",241,,5
strangle,verb,The hooligan strangled the old woman with a piece of string.,,那流氓用一根繩子把老婦人勒死了。,勒死；使窒息,smother; hamper,,"strangle 表勒死、使窒息；三態 strangle, strangled, strangled。",241,,5
string,noun/verb,There are four strings on a violin. Lanterns were strung in the trees around the west lake.,,小提琴有四根弦。西湖周圍的樹上懸掛著燈籠。,一串；字串；弦；線；縛；捆；掛,cord; lace; bind; connect,loosen; unstring,"string 可作名詞或動詞；動詞三態 string, strung, strung。",241,242,5
stultifying,adjective,Rose says her former company is very stultifying.,,蘿絲說她以前的公司極其單調乏味。,極其單調乏味的；使人變遲鈍的,quite boring,interesting,stultifying 指使人覺得沉悶、遲鈍的。,242,,4
subcontractor,noun,One of Mr. Miller's friends is a bricklaying subcontractor.,,米勒先生的一位朋友是砌磚轉包商。,轉包商；次承包商,,,sub + contractor，指承接主承包商部分工作的次承包商。,242,,4
subpoena,noun/verb,Roy was subpoenaed as a witness yesterday.,,羅伊昨天作為證人被傳喚。,傳喚；傳訊,,,"subpoena 可作名詞或動詞；動詞三態 subpoena, subpoenaed, subpoenaed。",242,,5
subsidence,noun,Jenny's house is insured against subsidence.,,珍妮家的房子投了房子下沉險。,沈澱；下沉,subsiding; descent,ascent,subsidence 指下沉、沉降。,242,,4
subsidy,noun,The old people will suffer worst if housing subsidies are cut.,,如果削減住房津貼，最吃苦頭的就是那些老人。,補助金；津貼,pension; bounty,,subsidy 指政府或機構提供的補助金、津貼。,242,,4
suffer,verb,Joanna has learnt to suffer without complaining.,,喬安娜已經學會吃苦而不抱怨。,遭受；經歷；忍受,experience,,"suffer 表遭受、忍受；常接 pain, loss 等。",242,,5
suicide,noun,Turner's former boss attempted suicide after his firm had gone bankrupt.,,特納的前任老闆在公司破產後試圖自殺。,自殺；自殺行為,self-murder,,suicide 指自殺或自殺行為。,242,,4
supervise,verb,Jane helped one of her friends supervise the whole department.,,珍幫助她的一個朋友管理這個部門。,監督；管理；指導,oversee,,"supervise 表監督、管理；三態 supervise, supervised, supervised。",242,243,5
suppress,verb,"Generally speaking, each nation suppresses news that is not favorable to it.",,一般而言，每個國家都封鎖對它不利的消息。,鎮壓；使…止住；禁止,subdue; conquer,authorize; offer,"suppress 表壓制、鎮壓或禁止；三態 suppress, suppressed, suppressed。",243,,5
surcharge,noun/verb,It's said that there may be a 10% surcharge on airline tickets.,,據說飛機票可能增收百分之十附加費。,裝載過多；額外費,,,"surcharge 可作名詞表示附加費，也可作動詞表示加收費用；三態 surcharge, surcharged, surcharged。",243,,4
surgeon,noun,The young surgeon built himself a new surgery.,,那位年輕的外科醫生為自己建了一間新的外科手術室。,外科醫生,physician,,surgeon 指外科醫師；複數 surgeons。,243,,3
surgery,noun,The famous surgeon is preparing for the surgery.,,那個著名的外科醫生正在做手術前的準備。,外科；外科手術,,,surgery 可指外科醫學、外科手術或診療室。,243,,4
surplus,noun,"Generally speaking, Mexico has a surplus of oil.",,一般而言，墨西哥有過剩的石油。,過剩；剩餘物；剩餘額,excess; nimiety,deficit,surplus 指超出需要的剩餘量。,243,,5
surroundings,noun,We think animals in zoos are not in their natural surroundings.,,我們認為動物園裡的動物不是生活在自然環境中。,周圍的事物；環境,environs,,surroundings 常用複數，表示周圍環境。,243,,4
survival,noun,"For each of us, survival is our first imperative.",,對我們每一個人來說，首要任務是設法生存下來。,生存,,,survival 指生存、存活。,243,,3
