word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
colonial,adjective,The colonial period of America started in 1607 when the first English settlers landed at Jamestown.,美國的殖民時期始於一六○七年，當時第一批英國移民者登陸詹姆士敦。,殖民地的；殖民的,colonizing,,colony（殖民地）加形容詞字尾 -ial，形成 colonial，表示殖民地的、殖民的。,38,,4
combat,verb,Drastic measures will be taken to combat inflation.,為對抗通貨膨脹，激烈的措施將被採取。,戰鬥；對抗,battle; oppose,,com- 表「共同」，bat 表「打擊」，合起來可聯想為共同打擊、戰鬥、對抗。,38,,3
comeback,noun,The media has been twittering with gossip about the actress's comeback.,媒體對該女演員的復出一直議論紛紛。,恢復；復出,recovery,,come back（返回、回來）合併成 comeback，表示恢復、復出。,38,,5
commemorate,verb,New stamps were issued to commemorate the queen's coronation.,為紀念女王的加冕，新郵票發行了。,慶祝；紀念,celebrate; memorialize,,com- 表「共同」，memor 表「記憶」，-ate 為動詞字尾，可聯想大家共同記住、紀念。,38,,4
commend,verb,That book was commended by other famous writers.,那本書被其他的名作家推薦。,稱讚；推薦,praise; recommend,criticize,com- 表「共同」，mend 可聯想「修好」；大家共同稱讚、推薦一本好書。,38,,5
commentary,noun,We all think her commentary on this issue is perfectly right.,我們都認為她對此問題的評論完全正確。,評論；實況報導；紀事,comment; annotation,,comment（評論）加名詞字尾 -ary，形成 commentary，表示評論。,38,,5
commissioner,noun,Some commissioners called for increased protection for migrants.,一些委員呼籲加強保護移民者。,委員；長官,functionary; representative,,commission（委任、任命、委託）加表示人的 -er，形成 commissioner。,38,,5
commodity,noun,China makes some very cheap commodities.,中國製作一些廉價的商品。,商品；日用品,goods; merchandise,,com- 表「共同」，mod 可聯想「模式」，-ity 為名詞字尾，記成有共同規格的商品、日用品。,38,,5
communicative,adjective,Communicative competence is a concept introduced by a man named Dell Hymes.,交際能力概念是由一個叫 Dell Hymes 提出的。,健談的；交際的,talkative,short-spoken,communicate（溝通、交際）去 e 加 -ive 形成 communicative，表示健談的、交際的。,38,,5
communism,noun,Communism is a system of social organization in which property is held in common.,共產主義是一種社會制度，在此制度裡財產是公有的。,共產主義,socialism,capitalism,com- 表「共同」，mun 表「服務」，-ism 表「主義」，可聯想共同服務人民的主義。,39,,3
