word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
operation,noun,The operation of this machine is not difficult.,這台機器的操作不難。,操作；運轉,performance,,oper 表工作，ation 表行為、結果，合起來表示操作、運轉。,221,,4
oppose,verb,They opposed their company's new policies.,他們反對公司的新政策。,反對；反抗,counteract; refute,agree; consent,"oppose 表反對、抵制；動詞三態為 oppose, opposed, opposed。",221,,3
optional,adjective,Attendance at the exhibition is optional.,這一展覽會可隨意參加。,隨意的；非必須的,voluntary; elective,compulsory,optional 指可選擇的、非強制的。,221,,4
ordain,verb,God has ordained that they should die in poverty. She was ordained the first woman priest of the church last year.,上帝已注定他們窮死於貧困。去年，她被任命為教會的第一位女牧師。,規定；任命；授…以聖職,order; decide; decree,,ordain 可指規定、命定，也可指授予聖職。,221,,5
organ,noun,Parliament belongs to the chief organ of government.,國會屬於政府的主要機關。,機關；機構,,,organ 可指身體器官，也可指組織中的機關、機構。,221,,4
organization,noun,It is a benevolent organization.,這是一個慈善組織。,組織；機構；團體,union; construction,,organization 的名詞複數為 organizations。,221,,5
outbreak,noun,The outbreak of riot in this area caused a lot of people to die.,這地區暴發騷動使許多人因此喪生。,（戰爭、憤怒等）爆發,revolt; riot,,out + break，字面為向外爆開，引申為爆發。,221,,5
outlive,verb,He outlived his wife by several years.,他比妻子多活了幾年。,比…活得長；度過,survive,,out- 有超過之意，outlive 即比某人活得更久。,221,,5
outrage,noun,Chinese people should never forget the outrage committed by the Japanese invaders.,中國人永遠都不應該忘記日本侵略者犯下的暴行。,暴行；侮辱；憤怒,atrocity; violence,,outrage 可指暴行、侮辱，也可指強烈憤怒。,221,,3
overcast,adjective/verb,"There is always a gloomy, overcast expression on her face. The existence of evil will overcast your life.",她成天愁眉苦臉。邪惡的存在會使你的人生蒙上陰霾。,陰天的；陰暗的；愁悶的；使沮喪,dark; gloomy,,overcast 可作形容詞表示陰沉，也可作動詞表示使蒙上陰影。,221,222,4
overdose,noun,You must not take an overdose of sleeping pills.,你一定不能服用過量的安眠藥。,藥劑過量,,,over 表超過，dose 表服藥量，合起來即過量服藥。,222,,4
overextend,verb,Any man may overextend himself.,每個人都有可能做出不自量力的事。,使伸延過長；過分擴展,,,overextend 指超出能力或資源地延伸、擴張。,222,,5
overly,adverb,You must be overly tired.,你一定是太疲倦了。,過度地；極度地,excessively,,overly = excessively，表示過度地。,222,,4
overpower,verb,Several burglars were easily overpowered by the police.,警方輕而易舉地制服了幾個竊賊。,擊敗；制服,overmaster,,overpower 指以更強力量壓倒、制服。,222,,3
overtime,noun/adverb,He has to be on overtime tonight. We have been working overtime.,他今晚得加班。我們近來一直在加班。,加班；加班時間；超時地,,,over + time，表示超過正常工作時間。,222,,5
oxidation,noun,You can paint a coat of paint to prevent the oxidation of the ship by seawater.,你們可以刷一層油漆以防止船隻被海水氧化。,氧化（作用）,,,oxidation 為 oxide/oxidize 的名詞形式，表示氧化作用。,222,,3
ozone layer,noun,The pollution had destroyed the ozone layer.,污染破壞了臭氧層。,臭氧層,,,ozone layer 指大氣中的臭氧層。,222,,5
pack,verb/noun,The bus station was packed with noisy pupils. The hikers like to carry packs on their backs.,公共汽車站擠滿了吵吵鬧鬧的小學生。徒步旅行的人喜歡背著包。,捆紮；打包；擠滿；包；捆,fill; load; stuff,unpack,pack 可作動詞表示打包、塞滿，也可作名詞表示包、捆。,222,223,5
palliate,verb,I believe this medicine can palliate your headache.,我相信這藥能緩和你的頭痛。,減輕；緩和,lessen; medicate,,palliate 指減輕症狀或痛苦，但不一定根治。,223,,5
palpitate,verb,He palpitated with fear.,他因恐懼而發抖。,心跳；顫動；發抖,beat; flutter; pulsate,,palpitate 常指心悸、心跳或因恐懼而顫抖。,223,,4
pamper,verb,He was pampering the poor girl's lust for singularity and self-glorification.,由於溺愛和縱容，他就滿足這個可憐女孩追求獨特和自我陶醉的慾望。,縱容；嬌寵,indulge; coddle,,pamper 指過度寵愛、縱容。,223,,5
panic,noun,The sudden collapse of the big bank caused a panic on the Stock Exchange.,那家大銀行突然倒閉造成證券交易所的恐慌。,恐慌；驚慌,fear; fright; terror,,panic 表突然且強烈的恐慌。,223,,5
par,noun/adjective,It's a solid, par performance. He had to sell the bond at par.,這是一場一般水準的表演。他不得不照票面價值出售債券。,平均的；平常的；同等；票面價值,average; normal,,par 指標準、一般水準；at par 指按票面價值。,223,,5
partnership,noun,I am willing to enter into partnership with him to do export business.,我願意和他合夥做出口生意。,合夥；合股；合夥關係,combination; union,,partnership 指合夥關係或合作關係。,223,,5
patient,adjective/noun,I get along very well with him because he is a very patient man. The patient often cried for the pain.,由於他是個很有耐心的人，我和他相處得很融洽。這個病人常因疼痛哭泣。,有耐心的；能忍耐的；病人,uncomplaining; forbearing,,patient 可作形容詞表示有耐心，也可作名詞表示病人。,223,,5
payable,adjective,This is a check payable to the bearer.,這是應付給持票人的支票。,可付的；應付的,,,pay + able，表示可支付的、應支付的。,224,,3
pedantic,adjective,He often pays a pedantic attention to details.,他常常學究式地注意細枝末節。,迂腐的；學究式的,educated; learned,,pedantic 指過度賣弄學問、拘泥細節的。,224,,5
pending,adjective,A final decision on this matter is pending.,此事還未做最後決定。,未決定的；待決的,waiting,,pending 指尚未決定或仍在處理中。,224,,4
penurious,adjective,Helen's mother said that she had no wish to chuck her daughter away on such a penurious person.,海倫的母親說她絕不想把女兒嫁給一個像他這樣貧困的人。,貧困的；吝嗇的,greedy,,penurious 可指貧窮的，也可指吝嗇的。,224,,5
percentage,noun,You can get a percentage on everything they sell.,你可從他們賣出的任何東西獲得一定百分比的金額。,百分率；百分比,,,percentage 的名詞複數為 percentages。,224,,5
periodical,noun,I should be very glad if you could insert this article into our company's periodical.,如果能把這篇文章登在我們公司的期刊上，我將很高興。,期刊,gazette; journal,,periodical 作名詞表示期刊，複數為 periodicals。,224,,4
personnel,noun,One of our company's main problems is the shortage of skilled personnel.,技術人員的短缺是我們公司的一個主要問題。,職員；人員；人事部門,employees; staff,,personnel 是集合名詞，通常視為複數概念。,224,,5
perturb,verb,They tried to perturb good social order with their lies and propaganda. She was perturbed by the setback.,他們試圖以謊言和宣傳擾亂良好的社會秩序。她為這次的挫折感到煩惱。,使不安；煩擾,disturb; bother,,perturb 表擾亂、使焦慮不安。,224,,5
