word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
volunteer,noun/verb,Lesley is a volunteer for community service in this town. John volunteered to repair the car for the old lady.,,萊斯利是這個鎮裡的社區服務志工。約翰志願替老太太修汽車。,志願者；義工；志願；志願提供,unpaid worker; offer,reluctance; concede,volunt 表「意志、志願」，-eer 表「者」，合起來引申為「志願者」。,251,,4
walkout,noun,The union staged a walkout for better work conditions.,,工會為爭取更好的工作條件而罷工。,聯合罷工；罷工,,,walk 表「走」，out 表「外面」，合起來引申為「離去、罷工」。,251,,4
wane,verb,Be happy because the moon will become full after it wanes.,,高興點！月缺以後才會有月圓。,減少；衰微；虧缺,decline; diminish,wax,"wane 表逐漸減少、衰弱；三態 wane, waned, waned。",251,,5
waste,noun/verb,"Please put your waste in the dustbin. Please turn the tap off, and don't waste water.",,請把你的廢棄物扔進垃圾桶裡。請關水龍頭，別浪費水。,廢料；垃圾；浪費,refuse; rubbish; consume; exhaust,conserve; save,"waste 可作名詞或動詞；動詞三態 waste, wasted, wasted，名詞複數 wastes。",251,,4
wear,noun/verb,My brown jacket is for everyday wear. He was wearing a gold ring.,,這是我每天心穿的棕色夾克。他戴著一個金戒指。,穿；戴；磨損；耐用；穿著,don; dress; clothing; vesture,disrelish; loathe,"wear 可作名詞或動詞；動詞三態 wear, wore, worn。",251,,5
weather,noun,Can the students read the weather chart?,,這些學生能看懂氣象圖嗎？,天氣；氣候,climate,,常見搭配有 forecast the weather、fair weather。,251,,4
welfare,noun,These old people are living on welfare now.,,這些老人現在靠社會福利生活。,福利；福利事業,benefit,misery,well 表「很好地」，fare 表「飲食」，合起來引申為「福利」；child welfare 指兒童福利，social welfare 指社會福利。,251,252,4
wholesale,noun/adjective,Does Judy buy the goods at wholesale or retail? The wholesale prices of these shoes are 32 dollars.,,這批貨朱蒂是整批買還是零買？這些鞋子的批發價是三十二美元。,批發；批發的；大規模的,extensive; overall,retail,whole 表「整體的」，sale 表「銷售」，合起來引申為「批發」。,252,,4
wind tunnel,noun,"During wind tunnel tests on the car, at the development stage, water was added.",,對汽車進行風洞測試期間（也就是開發階段時），要添加水。,風洞（檢查風壓的）,wind tunnel,,wind 表「風」，tunnel 表「隧道」，合起來就是「風洞」。,252,,4
work force,noun,There is a great deal of friction between the management and the work force.,,管理階層與勞工之間有很大的爭執。,勞動力；受雇用的人,workforce,employer,work 表「勞動」，force 表「力」，合起來引申為「勞動力、受雇用的人」。,252,,4
worldly,adjective,Some of my friends said to me that Robert was very worldly.,,我的一些朋友對我說，羅伯特非常世故。,世間的；世俗的,temporal; earthly,spiritual,worldly 的比較級為 worldlier，最高級為 worldliest。,252,,4
zealous,adjective,The salesman seems very zealous in his work.,,這位推銷員看來非常熱心於他的工作。,熱心的；熱情的,enthusiastic,indifferent,zeal 表「熱心」，-ous 表「有…特質的」，合起來引申為「熱心的、熱情的」。,252,,3
abase,verb,A man who always likes to use bad language will only abase himself.,,總喜歡說髒話的人只會自貶身分。,使謙卑；降低身分,belittle; degrade,,ab + base，可聯想為「使降低、使謙卑」。,254,,4
abbey,noun,The old abbey ruins looked so horrible at midnight that they dared not approach it.,,古修道院的廢墟在深夜看起來很恐怖，所以他們不敢接近。,修道院；大教堂,convent; nunnery,,abbey 指修道院或大教堂。,254,,3
abbreviate,verb,UN is abbreviated from United Nations.,,UN 是 United Nations（聯合國）的縮寫。,縮寫；縮短,abridge; condense,amplify,abbreviate 表縮寫、縮短。,254,,4
abdicate,verb,She abdicated her responsibilities for the care of the child.,,她放棄了照顧孩子的責任。,辭職；放棄,renounce; abandon,,abdicate 表辭去職位或放棄責任。,254,,5
abdomen,noun,She always feels great pain in her abdomen so she decided to go to hospital this weekend.,,她總是感到腹部疼痛，所以她決定這個週末去醫院。,下腹；腹部,belly,,abdomen 指腹部。,254,,5
abhor,verb,Most people abhor violence.,,大多數人憎恨暴力。,憎恨；嫌惡,hate; despise,,abhor 表強烈憎惡。,254,,4
