word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
defoliant,noun,A defoliant is any chemical sprayed on plants to cause its leaves to fall off.,脫葉劑是任何能使植物葉子脫落下來的化學噴劑。,脫葉劑,,,de 表「離」，foli 表「樹葉」，-ant 為名詞字尾，合起來指使樹葉脫落的藥劑。,191,,4
defy,verb,How can you defy the order of the court?,你怎麼可以藐視法庭的命令？,公然反抗；向…挑戰,withstand; hold,comply; support,defy 表公然反抗、蔑視命令；常與 authority、order 等搭配。,191,,5
deliberate,verb; adjective,You have no time to deliberate. She is always deliberate in her speech.,你沒有時間深思熟慮。她說話從來都是從容不迫的。,仔細考慮；思考；商議；深思熟慮的；慎重的；故意的,consider; meditate; leisurely; easy,hasty; irresolute,deliberate 可作動詞表示仔細考慮，也可作形容詞表示慎重、從容或故意的。,191,,4
delude,verb,He always deludes others with empty promises.,他常常用虛假的諾言欺騙他人。,欺騙；哄騙,deceive; betray,,delude 指使人相信不真實的事物，常有欺騙、迷惑之意。,191,,5
demarcate,verb,Her stillness demarcated her from other girls.,她的沉靜將她與其他女孩分開。,定…的界線；區分,delimit; delimitate,,de 表加強，mark 表標記，demarcate 即劃定界線、區分。,191,,5
demolish,verb,This district will be demolished next month.,這個地區將在下個月被拆除。,毀壞；破壞；拆除；推翻,crush; smash,,demolish 常指拆毀建築，也可引申為徹底破壞或推翻。,191,,4
density,noun,The traffic was paralyzed because the density of the fog made it difficult to see.,由於濃霧使道路很難看清，交通因此癱瘓了。,密度；稠密；濃度,denseness,,dense 表「稠密的」，-ity 為名詞字尾，density 即密度、濃度。,191,,4
deny,verb,There is no denying that you have made a serious mistake.,事實不可否認，你已經犯了一個嚴重的錯誤。,否定；否認；拒絕給予,contradict; disclaim,acknowledge; affirm,deny 表否認、拒絕；there is no denying that... 表「不可否認……」。,191,,4
dependent,adjective,The country's economy is dependent on agriculture.,該國的經濟依賴農業。,依靠的；依賴的；隸屬的,clinging; count on,independent,de 表「下」，pend 表「懸掛」，-ent 表「處於…狀態的」，合起來引申為依靠的、依賴的。,192,,5
deplete,verb,Their stock of oil is greatly depleted.,他們的石油儲備已消耗殆盡。,耗盡；使…空竭,consume; eat up,,deplete 指大量消耗直到幾乎用盡。,192,,3
depositor,noun,"If you have deposited some money in a bank, you are a depositor.",如果你在銀行裡存錢，你就是存款人。,存款人；存放者；沈積器,depositary,,deposit 加表示「行為者」的名詞字尾 -or，形成「存款人；存放者」。,192,,4
deregulation,noun,He opposed deregulation of the price of gold.,他反對撤銷對黃金價格的管制。,撤銷管制規定,deregulating,,de 表否定，regulate 表「管制」，-ation 為名詞字尾，合起來即撤銷管制。,192,,5
derive,verb,He derives great joy from reading novels.,他從看小說中獲得了無窮的樂趣。,取得；衍生出；起源,acquire; come from,,derive from 常表示「從…得到」或「源自…」。,192,,5
describe,verb,I hesitate to describe her as really charming.,我很難說她真的很有魅力。,描寫；敘述；把…說成,characterize; define,,de + scribe（寫），可聯想為把特徵寫出來，即描寫、敘述。,192,,5
deserve,verb,They deserve several days' rest after so much work.,在工作那麼久之後，他們應該得到幾天的休息時間。,值得；應該得到,earn; qualify,,deserve 表示因行為或情況而「值得／應得」。,192,,5
detain,verb,He was detained at home by an unexpected visitor.,有個臨時訪客把他耽擱在家裡了。,留住；使耽擱；扣留；扣押,delay; hold up,free; liberate,de 表「離開」，tain 表「握、持有」，可聯想為把人留住而耽擱、扣留。,192,,4
detective,adjective; noun,He loves to read detective stories. The detective was killed by the murderer.,他喜歡讀偵探故事。那名偵探被兇手殺害了。,偵探的；偵查用的；偵探；私家偵探,investigator,,detect 表「察覺、查出」，-ive 可形成形容詞或名詞，detective 即偵探的／偵探。,192,193,5
deter,verb,Failure does not deter her from pursuing her dream.,失敗並沒有讓她打消追求夢想的念頭。,威懾住；使斷念；阻礙,discourage; dissuade,motivate; persuade,deter sb. from doing sth. 表示阻止某人做某事。,193,,5
devalue,verb,The dollars have been devalued recently.,最近，美元貶值了。,貶值,devaluate; depreciate,,de- 表降低，value 表價值，合起來就是使價值降低、貶值。,193,,4
diabetes,noun,Our mission is to prevent and cure diabetes.,我們的任務是防止和治療糖尿病。,糖尿病,,,diabetes 為「糖尿病」，diabetic 可指糖尿病患者或「糖尿病的」。,193,,5
diarrhea,noun,You have diarrhea. You must have eaten something bad yesterday.,你腹瀉了，你昨天一定吃了不新鮮的東西。,痢疾；腹瀉,,,diarrhea（亦作 diarrhoea）表示腹瀉。,193,,4
dietitian,noun,Do dietitians ever eat hamburgers?,營養學家們從來不吃漢堡嗎？,營養學者,nutritionist,,diet 表飲食，-itian 表專業人士，dietitian 即營養師／營養學者。,193,,5
digest,verb; noun,This kind of food does not digest well. He often read the digest before reading a book.,這種食物不容易消化。他在讀一本書之前，常常先讀摘要。,消化；領悟；融會貫通；摘要；文摘,absorb; assimilate,forget,digest 可作動詞表示消化、吸收，也可作名詞表示摘要、文摘。,193,,5
dilemma,noun,Don't put her in a dilemma.,不要把她推入進退兩難的境地。,困境；進退兩難,embarrassment,,dilemma 指兩難、難以抉擇的困境。,193,,5
dioxin,noun,Do you know what dioxin is?,你知道什麼是戴奧辛嗎？,戴奧辛,,,dioxin 的中文常譯為「戴奧辛」。,193,,4
direct,verb; adjective,The general directed them to fire. She took a direct flight to Washington.,將軍命令他們開槍。她搭乘直飛華盛頓的班機。,指向；管理；命令；指示；率直的；直接的,aim; place; point; obey; serve; lineal,convoluted; crooked,di 表方向，rect 表「正直／直」，可聯想為直接指向或管理、指示。,193,194,5
disaster,noun,Their plan ended in disaster.,他們的計畫以徹底失敗而告終。,災難；不幸；徹底的失敗,calamity; grief,prosperity,disaster 可指重大災難，也可引申為徹底失敗。,194,,4
disband,verb,You cannot disband the army as soon as the war ends.,你不能戰爭一結束就解散軍隊。,解散,dismiss; split up,,dis 表分開，band 表團體，合起來即使團體解散。,194,,5
discharge,verb; noun,The factory discharges waste water directly into the river. The discharge of this cargo will take 4 hours.,工廠直接把廢水排到河裡。這批貨物的卸載需要四小時。,排出；釋放；解雇；卸貨；排出；流出；釋放；卸貨,dispatch; eject; emission; expelling,enter; insert; insertion,dis 表分離，charge 表負荷，discharge 可表示排出、解除負荷或卸貨。,194,,4
disclose,verb,He disclosed the secret to his friends.,他把秘密透露給了他的朋友。,使露出；使顯露；揭發,reveal; discover,conceal; hide,dis 表相反，close 表關閉，disclose 即打開而使秘密顯露。,194,,4
discount,verb; noun,This store does not discount at all in this season. His words must be taken at a discount.,這家店在這個季節一點都不打折。他的話不能全信。,打折扣；懷疑；藐視；折扣；不全信,cut; deduct; subtract; price reduction,,dis 表除去，count 表計算，可聯想為從計算結果扣除一部分，即打折。,194,,4
disease,noun,Don't worry. The doctor will cure you of your disease.,別擔心，醫生會治好你的病的。,病；疾病,ailment; illness,health; healthiness,disease 表疾病，名詞複數為 diseases。,194,,5
dismal,adjective; noun,He lives in a dismal little room. Failing the exam is really dismal.,他住在一個淒涼的小房間裡。考試失敗真的是一件令人沮喪的事。,憂鬱的；淒涼的；陰暗的；沮喪；抑鬱；令人憂鬱的事,blue; depressing,cheerful; hopeful,dismal 常表示陰沉、淒涼或令人沮喪。,194,195,4
disparage,verb,My cousins always disparage my achievement.,我的表親們時常貶低我的成績。,貶低；輕視；毀謗,belittle; dishonor,praise,disparage 指貶低、輕視某人或其成就。,195,,4
dissatisfy,verb,I'm thoroughly dissatisfied with your behavior.,我完全不滿意你的行為。,不滿足；使感到不滿,disappoint,satisfy,dis 表「不」，satisfy 表滿足，合起來即使不滿。,195,,5
distract,verb,She was distracted by the accident.,那場意外事故讓她十分苦惱。,分散；轉移；使苦惱,abstract; divert,attract,dis 表分開，tract 表拉，原意把注意力拉離正常軌道，即分散、使苦惱。,195,,4
