word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
bash,verb,The mother who bashed her child on the head with a club was criticized by the public.,,那個用棍棒猛擊孩子頭部的媽媽遭受大眾的批評。,痛擊；猛攻,sock; whop,,bash 表重擊、猛擊。,271,,4
bass,noun,The opera star that is going to give a performance tonight is a fine bass.,,今晚要表演的歌劇明星是優秀的男低音歌手。,低音部；男低音歌手,basso,tenor,bass 指低音或男低音歌手。,271,,4
bastard,noun,"She left all her fortune to her bastard, which peeved her husband.",,她把所有的財產都留給了私生子，這讓她丈夫很生氣。,私生子；劣等貨；贗品,illegitimate child; whoreson,,bastard 為貶義詞，原義私生子。,271,,4
batch,noun,"With batch files, which are also called batch programs, one can simplify routine or repetitive tasks.",,利用批次檔案，又稱批次處理程式，可以簡化例行或重複性的任務。,一批生產量；一批；一組,bunch; cluster,,batch 指一批、一組。,271,,5
battalion,noun,A battalion is generally the smallest military unit which is capable of independent operations.,,營通常是軍隊裡最小的組織單位，能夠獨立作戰。,營；軍隊；集團,brigade; corps,,battalion 指軍隊中的營級單位。,271,,4
batter,verb,The police battered down the door but found that the criminal had already gone.,,員警把門猛力打開，卻發現罪犯已經逃走了。,連續猛擊；搗毀；打垮,pound; thrash,,batter 表連續猛擊。,271,,5
bearish,adjective,He is bearish about the stock market.,,他看跌股市。,粗暴的；看跌的,rough; surly,,bearish 在金融語境常指看跌的。,271,,4
beaten,adjective,The beaten army refused to surrender.,,被打敗的軍隊拒絕投降。,踏平的；挨打的；筋疲力盡的,exhausted,,beaten 可表示被擊敗的，也可指筋疲力盡的。,271,,5
bedraggled,adjective,The garden looked very bedraggled after the storm.,,院子在暴風雨過後看起來又濕又髒。,濕且髒；破爛的,shabby; sloppy,,bedraggled 指又濕又髒、凌亂的。,272,,4
beep,verb,The computers in this studio beep regularly.,,這個工作室的電腦發出有規律的嗶嗶聲。,作嗶嗶聲；吹警笛,,,beep 表發出短促嗶聲。,272,,3
beet,noun,Beet sells well this year.,,甜菜在今年很好賣。,甜菜；甜菜根,,,beet 指甜菜。,272,,3
behalf,noun,"They put up the proposal on your behalf, but now you blame them.",,他們代表你提出了這個建議，但是現在你責備他們。,代表；利益,sake; benefit,,on behalf of 表代表、為了…的利益。,272,,4
belie,verb,Her happy manner belied her real feelings.,,她那高興的樣子掩飾了她真實的感情。,掩飾；證明為假,misrepresent,,belie 指使表面印象與真相不符。,272,,5
belittle,verb,Don't belittle yourself unduly.,,你不要妄自菲薄。,輕視；使渺小,depreciate,,belittle 表貶低、輕視。,272,,4
bellicose,adjective,He is bellicose in nature.,,他的本性是好鬥的。,好戰的；好鬥的,battleful; combative,,bellicose 指好戰、好鬥。,272,,5
benefactor,noun,We showed high respect to those benefactors.,,我們對那些捐助者表達了崇高的敬意。,行善者；捐助者,contributor; supporter,,benefactor 指施恩者、捐助者。,272,,5
beneficiary,noun,He is the beneficiary of your generosity.,,他是你慷慨解囊的受益人。,受惠者；受益人,receiver; successor,,beneficiary 指從某事獲益的人。,272,,5
benevolent,adjective,The school received a benevolent donation.,,學校接受了一筆慈善捐款。,仁慈的；行善的,charitable; good-hearted,,benevolent 指仁慈、慈善的。,272,273,4
benign,adjective,Don't worry. Your mother's growth is benign.,,不要擔心，你母親的腫瘤是良性的。,仁慈的；良性的,benevolent,malign,benign 可指仁慈的，也可指腫瘤良性的。,273,,5
bequeath,verb,His collection of paintings was bequeathed to the National Gallery.,,他所有的藏畫都遺贈給了國家美術館。,遺贈；遺留,endow,,bequeath 指以遺囑留下財產。,273,,5
besiege,verb,"Besieged with fears, she decided to have a long holiday in the countryside.",,她因恐懼而煩擾，所以決定到鄉下度個長假。,圍攻；包圍；煩擾,surround; circumvent,,besiege 可指軍事包圍，也可比喻困擾。,273,,5
bestow,verb,The trophy was bestowed upon the winner.,,獎品頒給了優勝者。,贈與；使用,give; award,,bestow A upon B 表把 A 贈與 B。,273,,4
beverage,noun,This alcoholic beverage with a concentration of more than 40% ethanol is not suitable for teenagers.,,這種酒精度超過40%的酒精飲料不適合青少年飲用。,飲料,drink,,beverage 指飲料。,273,,4
bewilder,verb,"Bewildered by their explanation, I decided to find out the truth for myself.",,我被他們的解釋弄糊塗了，所以決定自己去探究事實真相。,使迷糊；使迷路,baffle; confuse,,bewilder 表使困惑、迷糊。,273,,5
bibliography,noun,You should list your bibliographies at the end of your essay.,,你應該把參考書目列在報告的最後。,目錄學；參考書目,,,bibliography 指參考書目。,273,,5
bilateral,adjective,We are willing to offer you an opportunity to develop bilateral trade.,,我們願提供您一個發展雙邊貿易的機會。,有兩面的；雙邊的,,,bilateral 指雙邊的、兩方面的。,273,,5
binding,adjective,They signed an agreement which was binding on both parties.,,他們簽訂了一份對雙方都有約束力的協議。,捆綁的；黏合的；有約束力的,forcible,,binding on 表對…具有約束力。,273,,5
binoculars,noun,Most of the people watched the football game through their binoculars.,,大部分的人用雙筒望遠鏡看足球比賽。,雙筒望遠鏡,,,bin- 可聯想「二」，ocular 表「眼睛的」，合起來記雙筒望遠鏡。,274,,4
biochemistry,noun,"This institution is open to any individual all over the world, with an interest in biochemistry.",,該機構向全世界任何對生物化學有興趣的人開放。,生物化學,,,bio- 表生命、生物，chemistry 表化學。,274,,5
birdie,noun,The birdie is building a nest of straw and twigs.,,這隻小鳥正在用稻草和小樹枝築巢。,小鳥,bird,,bird 加表示小的字尾 -ie，可記為小鳥。,274,,3
bizarre,adjective,The mother was deeply concerned with her son's bizarre behavior and decided to have a talk with him.,,母親很關心兒子古怪的行為，決定和他談一談。,奇異的；不尋常的,grotesque; aberrant,normal,bizarre 表古怪、異常。,274,,3
blackmail,verb,He was blackmailed out of the company's secrets.,,他被勒索而交出了公司的祕密。,勒索；敲詐,,,black + mail，可記為「黑色的信件」般的勒索。,274,,4
bladder,noun,The old man suffered from inflammation of the bladder.,,這個老人患有膀胱炎。,膀胱；囊狀物,vesica,,bladder 可聯想 ladder；膀胱像囊袋。,274,,5
blade,noun,How could you buy a knife whose blade is chipped in several places?,,你怎麼會買一把刀刃好幾處缺口的刀？,刀片；葉片；翼,leaf,,blade 指刀刃，也可指葉片或翼。,274,,3
bland,adjective,The soup was rather bland so I added some salt.,,這碗湯很淡，所以我又放了一些鹽。,溫和的；無刺激性的；淡而無味的,gentle; insipid,,bland 表味道淡或性質溫和。,274,,5
blandishment,noun,Lucy resisted Tom's blandishments.,,Lucy 拒絕了 Tom 的奉承。,勸誘；奉承,,,blandish 的名詞形式，指奉承、甜言蜜語。,274,,5
blare,verb,"The trumpet blared, announcing the queen's arrival.",,喇叭高鳴，宣布女王的到來。,發嘟嘟聲；發出響而刺耳的聲音,beep; toot,,blare 指響亮刺耳地鳴叫。,275,,5
blatant,adjective,She was told a blatant lie.,,她聽到一個露骨的謊言。,公然的；露骨的,vociferous; patent,quiet,blatant 表公然、明目張膽的。,275,,5
bleach,noun,"If you steep the stained cloth in bleach overnight first, you will save lots of time.",,如果你先把髒衣服放在漂白劑裡浸泡一夜，你就會省去不少時間。,漂白；漂白劑；漂白法,whitener,,bleach 可作漂白劑，也可作漂白。,275,,3
blizzard,noun,"With the coming of the New Year, she received a blizzard of gifts.",,隨著新年的到來，她收到大量禮物。,大風雪；暴風雪；大量,snowstorm,,blizzard 除暴風雪外也可比喻大量湧來。,275,,4
