word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
inland,adjective,Some inland cities usually don’t develop as well as the coastal ones.,通常內陸城市發展不及沿海城市。,內陸的；內地的,domestic,,字首 in- 可表「國內」，land 表「陸地」，合起來可聯想為「在國境內的」，因此有「內陸的；內地的」之意。,85,86,4
innovation,noun,This invention is really a technical innovation.,該項發明確實是一項技術革新。,革新；改革；創新,novelty,,字首 in- 可表「加強」，字根 nov 表「新的」，-tion 是名詞字尾，合起來有「革新；改革；創新」之意。,86,,5
innovative,adjective,His works are usually stylistically innovative.,他的作品在文體上通常很創新。,創新的；革新的,creative,,由名詞 innovation（革新；改革；創新）去掉 -tion 加上 -tive 而成為形容詞，表示「創新的；革新的」。,86,,5
insane,adjective,You are not allowed to work in an insane asylum.,你不被允許在精神病院裡工作。,精神病的；發瘋的,crazy; deranged,sane,字首 in- 表「不、無」，sane 意為「頭腦清楚的」，合起來表示「頭腦不清楚的」，引申為「精神病的；發瘋的」。,86,,5
insecure,adjective,The unsafe car made him feel insecure.,那輛不牢靠的汽車使他覺得不安全。,不安全的；不牢靠的,unsafe,secure,字首 in- 表「不、無」，secure 意為「安全的；牢固的」，合起來表示「不安全的；不牢靠的」。,86,,3
insider,noun,This information is obtained from an insider.,這個訊息得自於內部人士。,局內人；圈內人,,outsider,inside 意為「裡面的；內部的」，-er 是名詞字尾，表示「人」，合起來表示「局內人；圈內人」。,86,,4
insight,noun,"In his new book, he hits off at western People’s temperament with amazing insight.",在他的新書裡，他對西方人性格的描寫表現出驚人的洞察力。,洞察力；見識,sagacity; perception,,字首 in- 可表「進入」，sight 意為「眼光」，可聯想「眼光看進去」，因此有「洞察力」之意。,86,,5
insistence,noun,He has long angered the Government with his insistence on minority rights.,他堅持少數民族的權利而長期激怒政府。,堅持；強求,,,由動詞 insist（堅持）加上名詞字尾 -ence 形成，表示「堅持；強求」。,86,,5
insistent,adjective,He was insistent that we should have a drink.,他堅持要我們喝一杯。,堅持的；迫切的,persistent; urgent,,由動詞 insist（堅持；堅決主張）加上 -ent 形成形容詞，表示「堅持的；迫切的」。,86,,5
inspection,noun,"For most companies, tax inspection is necessary.",對於大多數公司而言，查稅是必要的。,檢查；視察,inquiry; investigation,,由動詞 inspect（細看；視察）加 -ion 形成名詞，表示「檢查；視察」。,86,87,3
