word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
fusion,noun,His work is a fusion of several different styles of writing.,,,熔解；融合,,,,321,,4
galaxy,noun,A galaxy of the most famous television actors of the year attended the large premiere.,,,星系；銀河系；一群傑出的人,,,,321,,4
gallop,verb,I enjoy galloping over the fields to release myself.,,,使飛奔；疾馳,,,,321,,4
gaseous,adjective,"Air, no matter in the gaseous or liquid state, is a fluid.",Water can exist in gaseous or liquid states.,,氣體的；氣體狀態的,,,,321,,5
gasp,verb,The wounded soldier managed to gasp out a few words.,,,吸氣；喘氣；喘著氣說話,,,,321,,4
gauge,verb,I'll try to put out some feelers first to gauge people's reactions to our proposal.,,,精確計量；估計,,,,321,,5
gel,verb,Our ideas are beginning to gel.,,,形成膠體；成形,,,,321,,4
generalize,verb,I think perhaps you oughtn't generalize about that.,I think perhaps you oughtn't to generalize about that.,,歸納；概括；推論,,,,321,,4
genre,noun,His six String Quartets are the most important works in the genre since Beethoven's.,,,類型；流派；風格,,,,322,,5
geographical,adjective,There will be a lecture of geographical features given by a famous professor this afternoon.,There will be a lecture on geographical features by a famous professor this afternoon.,,地理（學）的,,,,322,,4
geology,noun,"He was very interested in plants, animals and geology from his childhood.",,,地質學,,,,322,,4
geometry,noun,Not a few people feel that geometry is a difficult subject.,,,幾何學,,,,322,,4
gilt,adjective,He bought his girlfriend a gilt brooch at Christmas.,,,鍍金的,,,,322,,4
given,preposition,"Given the government's record on unemployment, his chance of winning the election looks poor.",,,考慮到；如果有,,,,322,,4
glacier,noun,Mr. Brown and his guide are still alive somewhere in the glacier.,Mr. Brown and his guide are still alive somewhere on the glacier.,,冰河；冰川,,,,322,,4
glee,noun,My children shouted with glee when they saw their presents.,,,快樂；歡欣,,,,322,,4
gnaw,verb,Fear and anxiety gnawed at our heart constantly.,Fear and anxiety gnawed at our hearts constantly.,,不斷地啃；使某人苦惱；使受折磨,,,,322,,4
go-ahead,noun,They have got the go-ahead from the council to start building.,,,許可；前進,,,,323,,4
gobble,verb,"As he was very hungry, he gobbled up all the food.",,,狼吞虎嚥,,,,323,,4
gore,noun,I hate to see a film with too much gore.,,,血；凝血；血塊,,,,323,,4
gorge,verb,The fat man constantly gorged himself on cream-cakes.,,,狼吞虎嚥地吃；填飽,,,,323,,4
gorgeous,adjective,This year's Miss Universe is a gorgeous woman.,,,極好的；壯麗的；燦爛的,,,,323,,4
gospel,noun,Don't take his words as gospel.,,,教義；信條,,,,323,,4
grate,verb,It's his bad manners that grate on me.,,,磨碎；發摩擦聲；使人煩躁,,,,323,,4
graze,verb,This field will graze 25 head of cattle.,,,放牧；吃草,,,,323,,4
grease,verb,"If you grease the engine, it will turn more easily.",,,塗油；用油潤滑；賄賂,,,,323,,4
grill,noun,Mom bought a grill and so we had grilled chicken for dinner for a week.,,,烤架；燒烤的食物；燒烤店,,,,323,,4
grove,noun,The couple used to take a walk in the quiet grove.,,,樹叢；小樹林,,,,324,,4
grumble,verb,Why grumble at others about your own stupid mistakes?,,,抱怨；發牢騷,,,,324,,4
guaranteed,adjective,"In business, nothing is guaranteed.",,,必定的；肯定的,,,,324,,4
guild,noun,An important meeting of the Townswomen's Guild will be held next Friday.,,,公會；協會,,,,324,,5
gulp,verb,Don't gulp your food down; you had better chew it before swallowing.,,,吞食；嚥住,,,,324,,4
gut,noun,"After what he said to us, I was surprised that he had the guts to come round and apologize.",,,勇氣；腸,,,,324,,4
gymnasium,noun,We go to play basketball in the nearby gymnasium every Sunday.,,,體育館；健身房,,,,324,,4
hack,verb,A few months later they were hacking farms from the forests.,"A few months later, they were hacking paths through the forest.",,砍；開闢,,,,324,,4
hail,verb,The famous singer was warmly hailed by his fans.,,,歡呼；喝采；打招呼,,,,324,325,4
halve,verb,"If that happened, sales would halve overnight.",,,減半,,,,325,,4
hamper,verb,His attempts at change were hampered.,,,束縛；阻礙；牽制,,,,325,,4
harass,verb,The boss harassed her at the office.,,,使煩惱；煩擾；不斷騷擾,,,,325,,4
harassment,noun,Sexual harassment of women at work is becoming more and more of a serious problem.,Sexual harassment of women at work is becoming an increasingly serious problem.,,煩惱；騷擾,,,,325,,4
hardline,adjective,He applauded the president's hardline attitude on this issue.,,,強硬的；不妥協的,,,,325,,4
hardliner,noun,Political power in this country alternates between hardliners and moderates within the ruling party.,,,強硬派,,,,325,,4
haul,verb,If you haul hard you will divert the fish.,"If you haul hard on the line, you may pull the fish away.",,拖；拉；拽,,,,325,,4
haunt,verb,It is said that this is a castle haunted by a ghost of a woman.,,,神出鬼沒；使困擾；縈繞,,,,325,,4
haven,noun,They have made the park as their haven in winter.,They have made the park their haven in winter.,,避難所；港口,,,,325,326,4
hazardous,adjective,"The strait is a difficult stretch of water, too hazardous for small ferries to cross.",,,危險的；冒險的,,,,326,,4
head-on,adverb/adjective,The accident happened as a motorcycle ran head-on into the lorry.,,,頭朝前地；迎頭,,,,326,,4
heated,adjective,A heated discussion on this issue started among the professors.,,,激昂的；興奮的,,,,326,,4
heave,verb,They helped me heave my luggage into the car.,,,舉起；拉起；提起,,,,326,,4
hedge,noun,The investment can be seen as a safe hedge against inflation.,,,界限；防備措施,,,,326,,4
hemisphere,noun,We usually use our right hand to develop our left hemisphere of the brain.,The left hemisphere of the brain controls language in many people.,,半球；半球體,,,,326,,5
henceforth,adverb,"Henceforth, he changed his attitude toward his father.",,,今後；從此以後,,,,326,,4
herald,verb,The festival heralds the beginning of a new year.,,,宣布；通報；預示……的來臨,,,,326,,4
herb,noun,Do you believe in China's traditional herbs?,,,芳草；藥草,,,,326,,4
hermit,noun,"In ancient times, some talented persons became hermits when they failed in their career.",,,隱士；遁世者,,,,327,,4
heterosexual,adjective,Most people are heterosexual.,,,異性的；異性戀的,,,,327,,4
hierarchy,noun,He has a very important position in the company hierarchy.,,,階層；等級制度,,,,327,,5
hi-fi,adjective/noun,My father has a hi-fi recorder.,,,高傳真的,,,,327,,4
highlight,noun,This is one of the highlights of the game.,,,最突出的部分；最重要的事情,,,,327,,4
hiss,noun/verb,"When water was thrown onto the fire, it made a loud hiss.",,,嘶聲；嘶嘶聲,,,,327,,4
hoarse,adjective,His son shouted himself hoarse in the basketball match.,,,嘶啞的；粗啞的,,,,327,,4
homogeneous,adjective,He talked about it in a homogeneous way.,The population of the town is relatively homogeneous.,,同類的；相似的,,,,327,,5
homosexual,adjective,Homosexual men are allowed to marry each other in some countries.,,,同性戀的,,,,327,,4
hood,noun,Her raincoat has a hood.,,,頭巾；兜帽；頭罩,,,,327,328,4
hoof,noun,The print of the horse's hoof is very big.,,,蹄,,,,328,,4
horizontal,adjective,On a map there are horizontal lines and vertical lines.,,,水平的；橫的；地平線的,,,,328,,4
hormone,noun,He was told that his disease was caused by unbalanced hormones.,,,荷爾蒙,,,,328,,4
hospitalize,verb,You must be hospitalized right now.,,,使住院治療,,,,328,,4
hound,verb,The police are always hounding him.,,,追獵；不斷煩擾,,,,328,,4
hover,verb,The hawk was hovering over the roof of our house.,,,盤旋；徘徊；猶豫,,,,328,,4
hull,verb,"Rice is gathered, cleaned and hulled before being sold.",,,去殼（或莢）,,,,328,,4
hunch,noun,I have a hunch that it will rain soon.,,,預感；直覺,,,,328,,4
hygiene,noun,People should bathe regularly as a matter of personal hygiene.,,,衛生；衛生學,,,,328,,4
hypocrisy,noun,His hypocrisy makes me sick.,,,偽善；虛偽,,,,328,,4
hypocrite,noun,"Jim is nothing but a hypocrite, pretending all the time.",,,偽君子；偽善者,,,,329,,4
hypothesis,noun,Several conclusions flow from this hypothesis.,,,假設,,,,329,,4
ideological,adjective,There are various ideological differences between dissimilar classes.,,,意識形態的,,,,329,,4
ideology,noun,We should try to foster patriotic ideology.,,,思想意識；意識形態,,,,329,,4
ignite,verb,Her enthusiastic speech ignited the audience.,,,點燃；使燃燒；激起,,,,329,,4
illuminate,verb,His face was illuminated by a smile.,,,使輝煌；使容光煥發,,,,329,,4
immerse,verb,She was always immersed in her studies.,,,使埋首於；使深陷於,,,,329,,4
imminent,adjective,The poor beggar is in imminent danger.,,,逼近的；即將發生的,,,,329,,4
immune,adjective,The authorities approved that this company be immune from taxation.,The company is immune from this tax under the new law.,,免疫的；免於……的,,,,329,330,5
impair,verb,Noise pollution might impair our hearing.,,,損害；削弱,,,,330,,4
impart,verb,We should try to impart a sense of duty to our children by our example.,,,給予；傳授；告知,,,,330,,4
imperative,adjective,It's imperative that I see you tonight.,,,必要的；極重要的；緊急的,,,,330,,4
implicit,adjective,He gave his implicit consent for his daughter to be married in a church.,,,不言明的；含蓄的；無疑問的,,,,330,,4
imposing,adjective,The imposing castle was the ancient palace of an emperor.,,,壯觀的；氣勢宏偉的；莊嚴的,,,,330,,4
impulsive,adjective,She is impulsive by nature; we never guess what she will do next.,,,易衝動的；感情用事的；任性的,,,,330,,4
inaccessible,adjective,The castle at the top of the hill is inaccessible by car.,,,達不到的；不受影響的,,,,330,,4
inappropriate,adjective,Wearing a T-shirt to a formal party is considered to be inappropriate.,,,不適當的；不相宜的,,,,330,,4
