word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
homeless,adjective,The government has tried to help those homeless people.,政府已試著幫助那些無家可歸的人。,無家的；無家可歸的,dispossessed,,home 表「家」，-less 是形容詞字尾，表示「無……的」，合起來表示無家的、無家可歸的。,81,,3
hometown,noun,There is a beautiful lake in our hometown.,在我們家鄉有個美麗的湖。,家鄉；故鄉,,,home 表「家」，town 表「鎮」，合起來表示家鄉、故鄉。,81,,5
honorary,adjective,He is the honorary president of our school.,他是我們學校的名譽校長。,榮譽的；名譽的,,,honor 表「榮譽、名譽」，-ary 是形容詞字尾，合起來表示榮譽的、名譽的。,81,,4
hopeless,adjective,He was hopeless when he lost all his money.,當他丟了所有的錢時，他絕望了。,無望的；絕望的,despairing; desperate,,hope 表「希望」，-less 是形容詞字尾，表示「無……的」，合起來表示無望的、絕望的。,81,,5
horsepower,noun,This engine can put out more than two thousand horsepower.,這部引擎可產生兩千匹以上的馬力。,馬力,,,horse 表「馬」，power 表「力量」，合起來表示馬力。,81,,5
hospitable,adjective,The Chinese have the reputation of being very hospitable people.,中國人具有非常好客的美譽。,好客的,hearty; cordial,inhospitable,字根 hospit 表「客人」，-able 是形容詞字尾，合起來可聯想為像客人一般受到好的對待，因此表示好客的。,81,,3
hospitality,noun,Many thanks for the hospitality you showed me today.,非常感謝你今天對我的款待。,好客；殷勤招待,kindness,,由 hospitable（好客的）去掉 -ble 加上 -lity 形成名詞，表示好客、殷勤招待。,81,,5
hostile,adjective,He is hostile to the stranger.,他對這個陌生人懷有敵意。,敵對的；不友善的,unfriendly; spiteful,amiable,host 可聯想「主人」，-ile 作形容詞字尾；此字原義與「反客為主」相關，後來表示敵對的。,81,,5
hostility,noun,She couldn’t conceal her hostility.,她無法隱藏她的敵意。,敵意；敵視,opposition; enmity,amity,由 hostile（敵對的、不友善的）去掉 -e 加上名詞字尾 -ity，形成 hostility，表示敵意、敵視。,81,,3
howl,verb,The wolves howled all night.,那些狼徹夜嚎叫。,啼叫；怒吼,yell; shout,,howl 音似中文的「嚎、吼」，可聯想為嚎叫、怒吼。,81,,4
humanitarian,noun,The rich man was praised as a humanitarian because he donated a lot of money.,這個富翁因為捐了許多錢而被稱讚為慈善家。,人道主義者；慈善家,,,human 表「人、人類」，加上表示人的字尾 -arian，形成 humanitarian，表示人道主義者、慈善家。,81,82,5
humiliate,verb,He was humiliated by defeat.,他因戰敗而受屈辱。,使丟臉；使屈辱,dishonor,,字根 hum 表「地」，-iliate 是動詞字尾，可聯想使人靠近地面，表示使丟臉、使屈辱。,82,,5
humiliation,noun,It will be difficult to forget this humiliation.,忘掉這個恥辱會很困難。,丟臉；羞辱；蒙羞,shame; embarrassment,,由 humiliate（使丟臉、使屈辱）去掉 -e 加上 -ion 形成名詞，表示丟臉、羞辱、蒙羞。,82,,5
hymn,noun,You can hear the hymn from the nearby church.,你可以聽到從附近的教堂傳來的聖歌。,讚美詩；聖歌,psalm,,hymn 可與 hum（哼唱）聯想：牧師喜歡走路時哼基督教的 hymn。,82,,3
ideally,adverb,"Ideally, we should have one manager for every 20 workers in our company.",理想地，我們公司每二十個工人中就有一位管理者。,理想地；完美地,,,ideal（理想的、完美的）加副詞字尾 -ly，形成 ideally，表示理想地、完美地。,82,,5
illusion,noun,He had the illusion that he was a millionaire.,他存有自己是百萬富翁的幻想。,錯覺；幻覺；幻想,fantasy; delusion,,字首 il- 可表「方向」，字根 lus 表「玩弄」，-ion 是名詞字尾，可聯想為被玩弄而失去方向，表示幻覺、錯覺。,82,,3
immense,adjective,Microsoft is an enterprise of immense size.,微軟公司是個龐大的企業。,巨大的；廣大的,large; tremendous,small,字首 im- 可表示「無」，-mense 在此作形容詞字尾，可聯想為無限的，引申為巨大的、廣大的。,82,,4
immigrate,verb,He immigrated to Australia in order to find a better job.,他移居到澳洲，想找一份更好的工作。,遷移；移居入境,migrate,emigrate,字首 im- 表「入」，字根 migr 表「遷移」，合起來表示移居入境。,82,,5
imprison,verb,She was imprisoned by domestic details.,家務瑣事把她給拴住了。,限制；束縛；監禁,jail; confine,liberate,字首 im- 表「入」，prison 表「監獄」，合起來表示關進監獄，引申為限制、束縛、監禁。,82,,3
imprisonment,noun,This kind of education is really a kind of imprisonment for him.,這種教育對他來說真的是一種桎梏。,監禁；桎梏；限制,bondage; constraint,,由 imprison（限制、束縛、監禁）加名詞字尾 -ment，形成 imprisonment，表示監禁、桎梏、限制。,83,,5
impulse,noun,Many people often buy lots of things on impulse.,許多人常憑著一時衝動而瘋狂購物。,衝動；推動力,compulsion; push,,字首 im- 表「入」，字根 puls 表「推、衝」，合起來有推入進去的聯想，因此表示衝動、推動力。,83,,5
inability,noun,Her inability to support the children resulted in her husband being given the custody of the children.,她無力撫養孩子，導致她先生取得監護權。,無能；無力,incapability,ability,字首 in- 表「不、無」，ability 表「能力」，合起來表示無能、無力。,83,,5
incentive,noun,Now we have wage incentive for better performance.,我們現在工作表現較好的話，可以得到鼓勵的薪資。,刺激；鼓勵；動機,motive,,字首 in- 可表「使」，字根 cent 可聯想「唱、說」，-ive 作名詞字尾，可聯想為說服人做事，表示刺激、鼓勵、動機。,83,,5
incline,verb,"I incline to his point of view, but not yours.",我傾向於他的觀點，而不是你的觀點。,使傾向；有意,tend,disincline,字首 in- 表方向，字根 clin 表「傾斜」，合起來表示使傾向、有意。,83,,5
inclined,adjective,Sometimes I am inclined to get tired easily.,有時我容易感到疲倦。,傾向的；易於的,leaning,,由 incline（有……傾向、易於）加 -d 形成形容詞，表示傾向的、易於的。,83,,3
inclusive,adjective,"The Brown’s have to pay back 1 million dollars, inclusive of interest to the bank.",Brown夫婦應向銀行償還一百萬元，包含利息在內。,包含的；包括的,including,exclusive,由 include（包括、包含）去掉 -de 加上 -sive 形成形容詞，表示包含的、包括的。,83,,5
incorporate,verb,"With more and more business, we decided to incorporate a new company.",隨著業務量越來越多，我們決定組成一家新公司。,合併；混合；組成公司,combine; join,,字首 in- 可表「使……」，corporate 意為「團體、公司」，合起來表示合併、混合、組成公司。,83,,5
incredible,adjective,"In this program, you can see many incredible scenes.",在這個節目中，你可看到許多不可思議的場面。,不能相信的；難以置信的,absurd; doubtful,credible,字首 in- 表「不、無」，credible 表「可信的」，合起來表示不能相信的、難以置信的。,83,,4
incur,verb,Those people incurred heavy losses during the stock market crash.,那些人在股票市場慘跌時遭受重大損失。,招致；招惹；遭受,result in; bring on,,字首 in- 表「進入」，字根 cur 可聯想「跑」，合起來可聯想跑進某種結果，因此有招致、招惹、遭受之意。,84,,5
indefinite,adjective,His reply to the girl’s affection in an indefinite manner made the girl confused.,他以含糊的方式回應那個女孩的愛慕，令她困惑不解。,不確定的；含糊的,unclear,definite,字首 in- 表「不」，definite 表「確定的」，合起來表示不確定的、含糊的。,84,,3
indicative,adjective,It is said that a broad forehead is indicative of good fortune.,據說前額寬大表示好命。,指示的；表示的；象徵的,significant; representative,,由 indicate（象徵、表示、指示）去掉 -e 加上 -ive 形成形容詞，表示指示的、表示的、象徵的。,84,,5
indicator,noun,"When the green indicator on the control panel lights up, the machine will work.",控制盤上的綠色指示燈亮時，機器便開始工作。,指示者；指示物,signal,,由 indicate（象徵、表示、指示）去掉 -e 加上表示人或物的名詞字尾 -or，形成 indicator，表示指示者、指示物。,84,,5
indifference,noun,It should not be a matter of indifference to me.,這對我而言，不能說是無關緊要的事。,漠不關心；無關緊要,,concern; interest,字首 in- 可表「不、無」，difference 表「差異、關係」，合起來形成 indifference，表示漠不關心、無關緊要。,84,,5
indifferent,adjective,"Those people are not hostile, nor are they friendly; they are simply indifferent.",那些人沒有敵意，但也不具友好；他們只是冷淡。,不關心的；冷淡的,,concerned; interested,由 indifference（漠不關心、無關緊要）去掉 -ce 加上 -t 形成形容詞，表示不關心的、冷淡的。,84,,5
indirect,adjective,Some words should be expressed in an indirect way.,有些話應該用間接的方式表達。,間接的；迂迴的,devious,direct,字首 in- 表「不、無」，direct 表「直接的」，合起來表示間接的、迂迴的。,84,,4
induce,verb,His grandparents always induced him to do good.,他的祖父母總是勸導他做好事。,勸使；誘導,cause; evoke,deduce,字首 in- 可表「入」，字根 duc 表「引導」，合起來有引導進入之意，因此表示勸使、誘導。,84,,4
indulge,verb,"Being indulged in computer games, he lost many opportunities.",由於沉迷於電腦遊戲，他失去了很多機會。,沉迷；放縱,spoil,abstain,字首 in- 可表「在……裡」，可聯想沉迷在某個世界裡，因此表示沉迷、放縱。,84,,5
industrialized,adjective,We aim to develop our country into an industrialized nation.,我們的目標是使我們的國家發展成工業化國家。,已工業化的,,,由 industrialize（工業化）加 -d 形成形容詞 industrialized，表示已工業化的。,84,85,5
inefficient,adjective,"After several days, the unskilled technician only worked out an outdated and inefficient method.",不熟練的技術員在幾天後只想出過時且效能差的方法。,效能差的；無能的,incapable; inept,efficient,字首 in- 表「不、無」，efficient 意為「效率高的、有能力的」，合起來表示效能差的、無能的。,85,,5
infinite,adjective,Nobody has infinite beauty.,沒有人有無窮的美貌。,無限的；無邊的；無窮的,boundless; eternal,finite,字首 in- 可表「不、無」，字根 fin 表「界限、範圍」，合起來表示無限的、無邊的、無窮的。,85,,3
infrastructure,noun,The infrastructure of the country needs development.,該國的公共建設需要發展。,公共建設；基礎設施,,,字首 infra- 表「在下面、在內」，structure 意為「建築物、結構」，可聯想為支撐整體的基礎建設。,85,,5
inhabit,verb,Their ancestors inhabited themselves in the great plain.,他們的祖先居住在大草原。,居住於；棲息於,dwell; lodge,,字首 in- 表「入」，字根 habit 表「居住、棲息」，合起來表示居住於、棲息於。,85,,5
inherent,adjective,This problem could only be solved beginning with the inherent contradictions.,要解決這個問題，必須從內在的矛盾著手。,內在的；固有的,existing; instinctive,,字首 in- 表「內」，字根 her 可聯想「繼承」，-ent 作形容詞字尾，合起來表示生來就繼承的，引申為內在的、固有的。,85,,4
initially,adverb,"Initially, he proposed a plan; but before the end of the meeting he took it back.",他最初提了一個計畫，但是會議結束前他又收回了。,最初；開頭,,,由 initial（開頭的、最初的）加副詞字尾 -ly，形成 initially，表示最初、開頭。,85,,3
initiate,verb,This year the college initiated some new subjects according to the reform plan.,今年該大學根據改革計畫，開始一些新的學科。,開始；創始；開始實施,start,,由 initial（開頭的、最初的）轉成動詞 initiate，表示開始、創始、開始實施。,85,,5
injustice,noun,"As a leader, if you did him an injustice indeed, you should apologize to him.",作為領導者，如果你確實對他不公平，就應向他道歉。,不公平；非正義,inequity,justice,字首 in- 表「不、無」，justice 表「公正、公平」，合起來表示不公平、非正義。,85,,5
