word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
doorway,noun,Don't stand in the doorway eating.,不要站在門口吃東西。,出入口；門口；門路,threshold,,door 表「門」，way 表「路、通道」，合起來表示出入口、門口、門路。,61,,5
doubtless,adverb,She will doubtless come on time as she always does.,她必定會像平時一樣準時到達。,無疑地；必定地,undoubtedly,uncertainly,doubt（懷疑）加 -less（沒有），原意為不懷疑地，因此表示無疑地、必定地。,61,,3
download,verb,Only registered members are allowed to download from this web.,只有註冊會員才允許從這個網站下載。,下載,,,down 表「向下」，load 表「裝載」，合起來表示下載。,61,,5
drainage,noun,This city's drainage is very efficient.,該城市的排水系統很好。,排水；排水系統,guttering,,drain（排水）加名詞字尾 -age，形成 drainage，表示排水、排水系統。,61,,4
drawback,noun,Living in a big city has its advantages as well as its drawbacks.,住在大城市有優點，也有缺點。,缺點；障礙,disadvantage; flaw,,draw 表「拉、拖」，back 表「後退」，可聯想使事情往後拖的因素，因此表示缺點、障礙。,61,,5
dressed,adjective,"Get dressed quickly, or you will be late for school.",趕快穿好衣服，要不然你上學會遲到。,穿好衣服的；打扮好的,appareled,naked,dress（穿衣、打扮）加 -ed 形成形容詞 dressed，表示穿好衣服的、打扮好的。,61,,5
dressing,noun,You have a choice of 3 kinds of salad dressing. Which one do you want?,有三種沙拉調料供你挑選，你要哪一種？,打扮；敷藥；調料,decoration; medicine; seasoning,,dress（穿衣、打扮）加 -ing 形成名詞 dressing，也可指敷料或食物調料。,61,,5
driveway,noun,Don't stop your car in the driveway.,不要把車停在汽車道上。,馬路；汽車道,road,,drive 表「開車」，way 表「道路」，合起來表示供車輛行駛的道路、汽車道。,61,,5
dual,adjective,Her dual role as a journalist and a writer made her very busy.,記者和作家的雙重身分使她非常繁忙。,雙倍的；雙重的,double,single,du- 表「二」，-al 為形容詞字尾，因此 dual 表示雙倍的、雙重的。,61,,3
dwarf,verb,"Dwarfed by the tall basketball players, he felt rather inferior.",高大的籃球選手使他顯得矮小，他因此感到很自卑。,使矮小；阻礙生長,shorten,,dwarf 可聯想為 d＋war＋f；作動詞時表示使顯得矮小或阻礙生長。,61,62,5
dwell,verb,There was in me a strange feeling that they told a lie.,我心中有一種奇怪的感覺，認為他們說了謊。,居住；停留；存在,live; inhabit,,dwell 可聯想 dwelling（住所），因此表示居住、停留。,62,,
dwelling,noun,"To escape the police, she changed her dwelling recently.",為了躲避警方，她最近換了住所。,住所；住宅,home; domicile,,dwell（居住）加 -ing 形成名詞 dwelling，表示住所、住宅。,62,,
dynamite,noun,The new book talking about religion is really dynamite.,那本談論宗教的新書真具有爆炸性。,炸藥；具爆炸性的事物,explosive,,dynamite 與 dynamic 同源，可聯想強大的力量與爆炸性。,62,,
ecology,noun,The factory's discharge of exhaust gas had changed the ecology of the whole area.,該工廠排放的廢氣改變了整個地區的生態環境。,生態學；環境,nature,,eco- 表「生態的」，-logy 表「學科」，合起來表示生態學，也可指生態環境。,62,,
edged,adjective,Modern technology is a two-edged sword providing both good and evil.,現代科技是一把雙刃劍，同時帶來好處與壞處。,有邊的；有鋒的；銳利的,,,edge（邊、刃）加 -d 形成形容詞 edged，表示有邊的、有鋒的。,62,,
eloquence,noun,"Swayed by his eloquence, the crowd was sympathetic to his past.",群眾被他的雄辯所打動，對他的過去表示同情。,口才；雄辯,persuasiveness,,eloquent（雄辯的）去 t 加 -ce 形成名詞 eloquence，表示口才、雄辯。,62,,
eloquent,adjective,The speaker made an eloquent appeal for peace and justice.,該發言人針對和平和公正提出有說服力的呼籲。,雄辯的；有說服力的,well-spoken; expressive,,eloquent 可聯想 eloquence（雄辯），表示雄辯的、有說服力的。,62,,
embarrassment,noun,My mobile phone rang in the library which was a real embarrassment.,我的手機在圖書館裡響了，真使我難堪。,難堪；困窘,abashment; uneasiness,,embarrass（使難堪）加名詞字尾 -ment，形成 embarrassment，表示難堪、困窘。,62,,
embed,verb,The clock embedded in the wall didn't work.,嵌在牆裡的鐘壞掉了。,使插入；使嵌入,bed,,em- 可表「進入」，bed 表「床、安放處」，可聯想把東西安放、嵌入其中，因此表示使插入、使嵌入。,62,63,
embody,verb,"To me, he embodies all the best qualities of a director.",在我看來，他體現了導演的一切優秀品質。,體現；使具體化；包含,incorporate; include,,em- 表「進入」，body 表「身體」，可聯想把概念放入具體形體中，因此表示體現、使具體化。,63,,3
embrace,verb,She came into the classroom embracing a large bag.,她抱著一個大袋子走進了教室。,擁抱；包括,hug; include,disintegrate,em- 表「使」，brace 可聯想手臂環抱，因此表示擁抱，也可引申為包括。,63,,5
emergence,noun,The emergence of new and promising enterprises held out hope for the country.,有前途的新興企業之出現為該國帶來希望。,出現；浮現,emersion; appearance,disappearance,emerge（浮現、出現）加 -nce 形成名詞 emergence，表示出現、浮現。,63,,5
