word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
obstinate,adjective,Only a kind person could have continued to befriend the proud and obstinate young man.,,,固執的；倔強的,stubborn; headstrong; pigheaded,,,351,,3
offset,verb,He put up his prices to offset the increased cost of production.,,,補償；抵消,compensate; neutralize,,,351,,5
opaque,adjective,The tax laws are so opaque that only an expert can understand them.,,,不透明的；難懂的,obscure; vague,transparent,,351,,5
optimum,adjective,He shared the Nobel Prize for work on the theory of optimum allocation of resources.,,,最理想的；最佳的,ideal,,,351,,5
ore,noun,There is iron ore in that mine.,,,礦；礦石,,,,351,,5
organism,noun,How do germs invade the organism?,,,有機體；有機組織,,,,351,,4
originality,noun,The teacher upgraded his composition score because of its originality.,The teacher gave his composition a higher score because of its originality.,,創新；獨創性；創造力,creativity; originality,,,351,,3
ornament,verb,I prefer to ornament my room with some flowers.,,,裝飾,decorate; adorn,,,351,,5
orthodox,adjective,He has an orthodox teaching style.,,,正統的；傳統的；習俗的,customary; conventional,,,351,,5
ostrich,noun,Please face the reality. Stop being an ostrich.,,,鴕鳥；逃避現實的人,,,,351,352,4
outfit,noun,Our company will provide the sports outfits for all the players.,,,全套裝備、工具或服裝,equip; apparatus,,,352,,5
outing,noun,The children often went for outings to the sea during the summer.,,,郊遊；短途旅遊,trip; journey,,,352,,4
outlaw,noun,That infamous outlaw was finally sentenced to death.,,,罪犯；亡命之徒,outcast; criminal,,,352,,3
outrageous,adjective,Her boss sometimes makes outrageous remarks.,,,粗暴的；無法無天的,insulting; disgraceful,,,352,,5
outright,adjective,He told an outright lie with a straight face.,,,全部的；徹底的,entire; complete,,,352,,5
outskirts,noun,His family moved to the outskirts of town several months ago.,,,郊外；郊區,suburbs,,,352,,4
overhear,verb,"Don't quarrel so loudly, you may be overheard.",,,偶然聽到；偷聽,hear,,,352,,5
overlap,verb,Our visits to Tokyo on business overlapped.,,,部分相同或重疊；同時發生,coincide; correspond,,,352,,3
overt,adjective,,,,明顯的；公然的,,,,352,353,5
