word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
deport,verb,"Even if they didn't sentence him to death, they would deport him.",,即使他們不判他死刑，也會把他驅逐出境。,驅逐；放逐,expatriate,,deport 指驅逐出境。,301,,5
descent,noun,Her family was opposed to his proposal because he was American of Japanese descent.,,她的家族反對他的求婚，因為他是日裔美國人。,下降；斜坡；血統,fall; lineage,ascent,descent 可指血統或下降。,301,,5
designate,verb,She was designated sportswoman of the year.,,她被指定為本年度的運動明星。,選出；指定；委任,indicate; assign,,designate 指指定、任命。,301,,5
despise,verb,I despise people who do not keep their promises.,,我藐視不信守諾言的人。,鄙視；看不起,contemn; disdain,admire,despise 指鄙視、看不起。,301,,5
destined,adjective,You are destined for success so never give up.,,你命中注定會成功，所以永遠不要放棄。,命中注定的；預定的；指定的,doomed,,be destined for 表命中注定。,301,,5
destiny,noun,It was my destiny to fall in love with you.,,愛上你是我的命運。,命運；天運；天意,doom; fate,,destiny 指命運。,301,,5
detached,adjective,He wants to buy a detached house so that there will be no noise from the next door to disturb him.,,他想買獨棟房子，這樣隔壁的噪音就不會打擾他。,分離的；分開的；不帶感情的,indifferent,,detached house 指獨棟房屋。,301,,5
detection,noun,The girl managed to escape detection by disguising herself as a man.,,女孩偽裝成男人，成功逃過偵查。,發現；偵查；探知,discovery,,detection 指發現、偵查。,301,,4
detention,noun,They were in detention in connection with the revolution.,,他們因與革命運動有關連而被拘留。,拘留；延遲；滯留,hold; constraint,freedom,detention 指拘留、羈押。,301,302,5
deter,verb,The heavy snow deterred him from driving out.,,大雪使他斷了開車出去的念頭。,威懾住；使斷念；阻礙,dissuade,motivate,deter from 表阻止某人做某事。,302,,5
devalue,verb,The NT dollar has devalued recently.,,新台幣最近貶值。,貶值；貶低,depreciate,,devalue 指使價值降低。,302,,5
devastate,verb,She was devastated to hear that her son had died in the war.,,她聽到她兒子死於戰爭中就崩潰了。,使荒蕪；破壞；使垮掉,damage; ravage,,devastate 指嚴重破壞或使人極度震驚。,302,,3
devastating,adjective,A devastating hurricane is on its way.,,一場破壞性極大的颶風就要來了。,破壞性極大的；毀滅性的,disastrous; destructive,,devastating 指毀滅性的。,302,,3
deviate,verb,He will never deviate from what he believes to be right.,,他絕不背離他自認為正確的道路。,脫離；越軌；使脫軌,deflect; diverge,,deviate from 表偏離。,302,,5
devour,verb,She devoured the book she had just bought.,,她如飢似渴地讀著她剛買的那本書。,狼吞虎嚥地吃；吞沒；毀滅,gulp; gorge,,devour 可比喻如飢似渴地閱讀。,302,,3
diabetes,noun,The mission of this association is to prevent and cure diabetes and to improve the lives of all people affected by this disease.,,該協會的任務是預防和治療糖尿病並提高所有糖尿病患者的生活品質。,糖尿病,,,diabetes 指糖尿病。,302,,4
diagnose,verb,The doctor diagnosed his illness as cancer.,,醫生診斷他的病為癌症。,診斷,analyze,,diagnose 指診斷疾病。,302,,5
diagnosis,noun,They are waiting in great anxiety for the doctor's diagnosis.,They are anxiously waiting for the doctor's diagnosis.,他們正焦急地等待醫生的診斷結果。,診斷結果；判斷結論,,,diagnosis 指診斷結果。,302,303,5
diameter,noun,The diameter of a circle is twice its radius.,,圓的直徑是半徑的兩倍。,直徑,caliber,,diameter 指直徑。,303,,4
diesel,noun,Can you tell me what the difference between a gasoline engine and a diesel one is?,,你可以告訴我汽油引擎和柴油引擎有什麼不同嗎？,柴油；柴油機,,,diesel 指柴油或柴油引擎。,303,,5
differentiate,verb,It is wrong to differentiate between people according to their color.,,按照膚色區分人是不對的。,區分；區別；使不同,distinguish; discriminate,,differentiate between 表區分。,303,,4
diffuse,verb,She never became a real success in anything because she diffused her talents.,,她從未在任何事情上取得真正成功，因為她分散了自己的才能。,使四散；傳播；散佈,spread,,diffuse 指散佈、分散。,303,,4
dilemma,noun,She is facing the dilemma of accepting the job or continuing to study.,,她正面臨接受這份工作還是繼續念書的兩難。,困境；進退兩難,embarrassment; plight,,dilemma 指兩難困境。,303,,5
dilute,verb,You can dilute the paint with oil.,,你可以用油稀釋油漆。,稀釋；削弱；變薄弱,reduce,concentrate,dilute with 表用……稀釋。,303,,4
dimension,noun,There is another dimension to the problem that they have not considered.,,這個問題還有一個他們尚未考慮的層面。,尺寸；容量；方面；面向,size; capacity,,dimension 可指層面、面向。,303,,4
diplomacy,noun,You should handle the delicate situation with diplomacy but not war.,,你應該以外交手段處理這個微妙的局勢，而不是戰爭。,外交手段；交際手腕,tact,,diplomacy 指外交手段。,303,,4
diplomatic,adjective,You'll have to be very diplomatic if you want him to support you.,,如果你想要他支持你，你必須非常有外交手腕。,外交的；有外交手腕的,tactful,,diplomatic 可指圓融、有手腕。,303,304,5
directive,noun,A soldier should obey directives unquestioningly.,,士兵應該無疑問地服從指令。,指令,regulation,,directive 指正式指令。,304,,5
disbelief,noun,I gazed at him in disbelief when he told me the so-called truth.,,當他告訴我所謂的事實時，我以懷疑的目光注視著他。,不信；懷疑,distrust; suspicion,belief,disbelief 指不相信。,304,,3
discern,verb,I soon discerned that he was lying.,,我馬上察覺出他在撒謊。,認出；辨別；識別,recognize,,discern 指辨認、察覺。,304,,5
disciple,noun,The professor has had many disciples since he made his famous speech.,,自從教授發表了那場著名的演講後，他就有很多追隨者。,信徒；門徒；追隨者,follower,,disciple 指門徒、追隨者。,304,,5
disciplinary,adjective,The college will take disciplinary action against students if they break the rule.,,如果大學生違反校規，學校就會懲戒他們。,訓練的；紀律的；懲戒的,,,disciplinary action 指紀律處分。,304,,4
discreet,adjective,Be more discreet or they will suspect something.,,一定要更謹慎，不然他們會起疑心。,謹慎的；樸素的,cautious; prudent,indiscreet,discreet 指謹慎、不張揚。,304,,5
discrepancy,noun,"If there are too many discrepancies in your statement, we will lose the lawsuit.",,如果你的陳述裡有太多不一致的地方，我們就會輸掉官司。,不一致；不符；差異,difference; dissimilarity,similarity,discrepancy 指差異、不一致。,304,,3
discrete,adjective,"The word ""commute"" has several discrete meanings.",,commute這個字有好幾個沒有關聯的意思。,分離的；不連接的,separate; discontinuous,continuous,discrete 指彼此分離、不連續。,304,,5
discretion,noun,A girl should show more discretion in choosing her boyfriend.,,女孩在選擇男朋友時應該更謹慎。,謹慎；考慮周到,caution; chariness,carelessness,discretion 指謹慎、判斷力。,304,305,3
disgraceful,adjective,We thought his conduct was disgraceful.,,我們認為他的行為是不光彩的。,不名譽的；可恥的；不光彩的,scandalous; degraded,graceful,disgraceful 指可恥、不光彩。,305,,5
disintegrate,verb,We had better move out; the house is gradually disintegrating with age.,,我們最好搬出去，因為房子隨著歲月逐漸崩解。,使瓦解；使碎裂,separate,integrate,disintegrate 指逐漸崩解。,305,,4
dismantle,verb,This machine dismantles easily.,,這部機器很容易拆開。,拆開；拆卸；摧毀,tear down; take apart,,dismantle 指拆解。,305,,5
dispensable,adjective,He thinks a car is useful but dispensable.,,他認為汽車雖然有用，但不是必要的。,非必要的；可分配的,needless,indispensable,dispensable 指可有可無。,305,,3
dispense,verb,The food should be dispensed to the earthquake victims as quickly as possible.,,食物應該儘快地分發給地震受害者。,分配；分發,allocate; distribute,,dispense 指分配、分發。,305,,5
disposable,adjective,The disposable diapers have been used up; you'd better buy some on your way home.,,紙尿布已經用完了，你最好在回家路上買一些。,可任意處理的；用完即丟的,,,disposable 指一次性、用完即丟。,305,,5
disposition,noun,Everybody likes her because she has an amicable disposition.,,每個人都喜歡她，因為她有友善的性格。,性格；傾向；配置,nature; arrangement,,disposition 可指性格、傾向。,305,,5
disregard,verb,She disregarded her doctor's advice and continued smoking.,,她無視醫生的勸告，繼續吸菸。,不理會；不顧；不尊重,ignore; neglect,,disregard 指忽視、不理會。,305,,3
dissident,noun,The dissident was attacked yesterday by some political fanatics.,,這個意見不同的人昨天遭到一些政治狂熱者的攻擊。,意見不同的人；不贊成者,dissenter; objector,,dissident 指持不同意見者。,305,306,5
dissipate,verb,He soon dissipated his estate his father left him.,,他很快地就把他父親留下的財產揮霍光了。,驅散；浪費；揮霍,scatter; disperse,,dissipate 可指揮霍財產。,306,,5
distort,verb,Don't distort what he said.,,不要曲解他所說的話。,扭曲；曲解,twist; deform,,distort 指扭曲、曲解。,306,,5
distributed,adjective,Distributed computing environment is a computer term.,,分散式運算環境是一個電腦術語。,分散式的；分佈式的,,concentrated; centralized,distributed 指分散式的。,306,,3
disturbed,adjective,She is very disturbed about his critical remarks.,,她為他的批評心情憂亂。,心亂的；心理不正常的,disquieted; distressed,calm,disturbed 指心神不寧。,306,,5
disturbing,adjective,They all kept silent after hearing the disturbing news.,,聽到這個令人不安的消息後，他們全都沉默不語。,令人不安的；動亂的；不平靜的,distressing; troubling,,disturbing 指令人不安的。,306,,5
diversity,noun,It is not easy to have a thorough understanding of the cultural diversity of the country.,,要全面瞭解該國文化的多樣性不是很容易。,差異；不同點；多樣性,variety,similarity,diversity 指多樣性。,306,,5
dividend,noun,"In 72 ÷ 8, 8 is the dividend.","In 72 ÷ 8, 72 is the dividend.",在「72÷8」中，8是被除數。,紅利；股息；被除數,portion; bonus,,dividend 可指股息或被除數。,306,,3
