word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
feeder,noun,"He is a large feeder, so is his father.",他是個食量很大的人，他父親也是。,飼養員；進食的人,,,feed（飼養）加上表示「人」的字尾 -er，形成 feeder，表示飼養員或進食的人。,71,,5
fellowship,noun,No one offered her the hand of fellowship when she was in despair.,當她處於絕望之中時，沒有人向她伸出友誼之手。,交情；友誼,companionship; friendship,,fellow 意為「夥伴、同事」，加名詞字尾 -ship 表示關係，形成 fellowship，表示交情、友誼。,71,,5
feminine,adjective,Her new dress made her look more feminine.,她的新洋裝使她看起來更女性化。,女性的；婦女的,womanly; female,masculine,字根 femin 表「女人」，加形容詞字尾 -ine，形成 feminine，表示女性的、婦女的。,71,,3
feminism,noun,True feminism is about women wanting an equal place in society.,真正的女權主義是婦女要求和男性平等的社會地位。,女權主義；男女平等主義,,,字根 femin 表「女人」，加名詞字尾 -ism 表「主義」，形成 feminism，表示女權主義。,71,,5
feminist,noun,Some people think it is not a good thing to marry a committed feminist.,一些人認為和忠誠的女權主義者結婚不是一件好事。,女權主義者,,,feminism（女權主義）去掉 -ism 改以表示人的 -ist，形成 feminist，表示女權主義者。,71,,5
fiance,noun,She has been in grief ever since her fiance broke off their engagement.,自從未婚夫毀掉婚約，她就一直沉浸在悲傷之中。,未婚夫,,,fiance 指「未婚夫」；可和 fiancee（未婚妻）一起記憶。,71,,4
finite,adjective,Our fossil fuel reserves are finite.,我們的礦物燃料儲存量是有限的。,有限的,bounded; limited,infinite,字根 fin 表「範圍、結界」，加形容詞字尾 -ite，形成 finite，表示有限的。,71,,5
firecracker,noun,The firecracker went off and scared the little children.,爆竹響了，嚇了孩子們一跳。,爆竹；鞭炮,,,fire 表「火」，cracker 表「爆裂物」，合起來形成 firecracker，表示爆竹、鞭炮。,71,,5
fireproof,adjective,"The building, which is made entirely of steel and concrete, can be fireproof.",完全用鋼筋混凝土建造的房屋是可以防火的。,防火的；耐火的,,,fire 表「火」，-proof 表「防……的、抗……的」，合起來形成 fireproof，表示防火的、耐火的。,71,,3
fitting,adjective,He expressed his views in clear and fitting language.,他用明白恰當的語言來表達他的觀點。,適合的；恰當的,suitable; appropriate,,fit（適合）加 -ing 形成形容詞 fitting，表示適合的、恰當的。,71,,5
fixed,adjective,Fixed wages and lack of promotion will act as a disincentive to employees to some extent.,固定工資及無升遷機會在一定程度上將會抑制員工的積極。,固定的；不變的,fastened; firm,unfixed,fix 表「固定」，加形容詞字尾 -ed，形成 fixed，表示固定的、不變的。,72,,5
flaw,noun,I can put my finger on the fatal flaw in your argument.,在你的論點中，我能找出一個致命的錯誤。,缺點；錯誤；裂紋,defect; crack,,flaw 可與 paw（腳爪）聯想：腳爪有點 flaw，就抓不住蟲子。,72,,3
fleet,noun,The general ordered the fleet to the South Sea.,將軍命令艦隊駛向南海。,船隊；艦隊,ships,,fleet 可與 flee（逃離）聯想：艦隊 fleet 也會 flee 戰地。,72,,5
flourish,verb,No new business can flourish under the present economic situation.,在目前的經濟形勢下，任何新生意都無法興旺。,繁榮；興旺,thrive; prosper,decay,flour 表示「花」，-ish 是動詞字尾，可聯想花朵盛放，因此 flourish 表示繁榮、茂盛。,72,,4
fluency,noun,You should know that neither fluency nor accuracy is easy to come by in learning a foreign language.,你們要知道，學一種外語要達到流利或精確的程度是不易的。,流暢；流利,smoothness; eloquence,,flu 表「流」，-ency 作名詞字尾，合起來可聯想為語言像水流般順暢，因此有流暢、流利之意。,72,,5
fluid,noun,The doctor told him that he had to drink plenty of fluids.,醫生告訴他，他必須多喝流質的東西。,流質；液體,,,flu 表「流」，-id 在此作名詞字尾，合起來表示流質、液體。,72,,3
flutter,verb,"Her arms rose, fell, and fluttered with the rhythm of the song.",她的手臂升起、落下，並隨著歌曲的節奏而飄動。,拍翅；飄動；顫動,wave; flap,,flutter 可與 flute（長笛、橫笛）聯想：吹 flute 時手指有時會不停自走地 flutter。,72,,5
foe,noun,I'm still not sure whether he is our friend or foe.,我仍無法確定他是朋友還是敵人。,反對者；敵人,enemy; adversary,friend,foe 可與 toe（腳趾）聯想：殘忍的士兵抓到 foe 後就砍下他們的 toe。,72,,5
folklore,noun,Rumors of their antics became part of the folklore of this area.,他們誇張離奇的謠言成了此地民間傳說的一部分。,民間傳說；民俗,legend,,folk 表「民間的」，lore 表「傳說、知識」，合起來表示民間傳說。,72,,4
forbidden,adjective,"The Forbidden City, which is one of the world's greatest works of architecture, is a great magnet for foreign tourists.",紫禁城是世界上最偉大的建築之一，對外國遊客來說是個有巨大吸引力的地方。,被禁止的；嚴禁的,,,forbid（禁止）加形容詞字尾形成 forbidden，表示被禁止的、嚴禁的。,72,73,5
formulate,verb,The speaker formulated his thought clearly at the meeting.,發言者在會議上清楚地闡述他的思想。,闡述；規畫,define; describe,,form 表「形式」，-ulate 在此作動詞字尾，合起來表示形成、規畫或闡述。,73,,3
forthcoming,adjective,The forthcoming talks hold out some hope for us.,即將到來的會談給我們帶來一些希望。,即將到來的,approaching; coming,,forth 表「向前」，coming 表「將要來的」，合起來表示即將到來的。,73,,5
fortnight,noun,"After eating instant noodles for a fortnight while camping, I'm really looking forward to a decent square meal.",在露營中吃了兩週的泡麵，現在我真想吃一頓像樣的飯菜。,兩星期,,,fortnight 可聯想 fourteen nights（十四夜），因此表示兩星期。,73,,5
forum,noun,The letters page of the magazine serves as a forum for the exchange of readers' views.,此雜誌的讀者來信版是意見交換的論壇。,論壇；討論會,discussion; debate,,forum 可由 forensic（辯論的、法庭的）聯想，表示供人公開討論與交換意見的場所。,73,,5
fossil,noun,I guess this fossil may be over 5 million years old.,我猜想這化石可能超過五百萬年。,化石；僵化的事物,remains,,fossil 可拆成 foss + il 聯想，表示古老遺留的化石或僵化事物。,73,,4
foul,verb,Everything was just fine until he came along and fouled things up.,本來一切都井然有序，但他一來就弄髒亂了。,弄髒亂；玷污；纏住,,,foul 可與 fool（愚人）聯想：手腳笨拙的 fool 常會 foul 原本井然有序的事物。,73,,5
fragile,adjective,Is there anything fragile enclosed in this box?,這盒子裡有易碎的物品嗎？,易碎的；易壞的,breakable,solid; strong,frag 等於 fract，表示「斷裂」，-ile 為形容詞字尾，合起來表示易碎的、易壞的。,73,,3
fragment,noun,He still could recall only a fragmented account of the accident.,他仍只能憶起那次事故的零碎片段。,使成碎片或片段,division; fraction,,frag 表「斷裂」，-ment 為名詞字尾，fragment 表示碎片、片段；加 -ed 可作形容詞。,73,,4
frail,adjective,"I accept that he's old and frail; be that as it may, he's still a good writer.",我承認他年老體衰；儘管如此，他仍是位優秀的作家。,脆弱的；虛弱的,weak; dainty,,frail 表示身體或事物脆弱、虛弱，可和 fragile 一起記憶。,73,,5
framework,noun,All the cases must be considered within the framework of the existing rules.,一切情況都必須在現行章程的框架中加以考慮。,結構；框架,structure; skeleton,,frame 表「框架」，work 表「工藝、作品」，合起來形成 framework，表示架構、框架、構造。,74,,5
frankly,adverb,"Quite frankly, he is not as bad as you might think.",坦白地說，他並沒有你們想像中那樣壞。,坦白地；直率地,openly,,frank 意為「坦白的」，加副詞字尾 -ly，形成 frankly，表示坦白地、直率地。,74,,5
fringe,verb,The weavers fringed the edge of the scarf.,織工們在圍巾邊上裝穗。,加穗於；成為邊緣,,,fringe 可聯想成一圈邊緣或流蘇；作動詞表示加穗於、成為邊緣。,74,,5
frontier,noun,This is the frontier between Austria and Hungary.,這裡是奧地利和匈牙利之間的邊界。,邊界；邊境,border,,front 表「前面」，加名詞字尾 -ier，可聯想最前線，因此 frontier 表示邊界、邊境。,74,,3
fruitful,adjective,We all agree that the work will be more fruitful if done according to this plan.,我們一致認為，若按照此計畫去做這項工作將更有成效。,多產的；有成效的,bounteous; effective,,fruit 意為「水果、成果」，加形容詞字尾 -ful 表「充滿……的」，形成 fruitful，表示多產的、有成效的。,74,,3
frustration,noun,"He never flinches from difficulties, although his life is full of frustrations.",儘管他的生活充滿挫折，但在困難面前他從不退縮。,挫折；挫敗,disappointment,,frustrate（挫折；使沮喪）去掉 e 加 -ion 形成名詞 frustration，表示挫折、挫敗。,74,,5
fume,verb,Sometimes I fume at the recklessness of the bus drivers.,有時我為了公車司機的魯莽而發怒。,冒煙；發怒；煩惱,be angry; rage,,fume 可表示煙氣，也可引申為氣得冒煙，因此作動詞有冒煙、發怒、煩惱之意。,74,,5
funding,noun,"Now, we can get back to the original question of funding.",現在，我們可回到最初有關籌資的問題上。,資金；基金,,,fund（提供資金）加 -ing 形成名詞 funding，表示資金、基金或籌資。,74,,3
fury,noun,She flew into a fury and broke all the dishes.,她頓時大怒，並把所有盤子摔破。,憤怒；怒氣,rage; wrath,,fury 表示強烈的憤怒；可聯想 fur（毛）炸起來，形容氣得毛都豎起。,74,,4
fuss,noun,You needn't make a fuss over such a trifle matter.,你不需要為這種小事大驚小怪。,大驚小怪；忙亂；抱怨,ado; commotion,,fuss 可聯想 fuzzy（絨毛）被弄亂，表示一地雞毛般的忙亂、大驚小怪或抱怨。,74,75,5
garment,noun,The man wore a strange shapeless garment that had once been a jacket.,那人穿著一件由夾克改成的怪衣服。,衣服；衣著,clothes; clothing,,gar 可聯想裝飾，-ment 作名詞字尾，garment 表示裝飾的事物，引申為衣服、衣著。,75,,5
gathering,noun,The arrival of a few special friends from the USA juiced up a small social gathering.,幾位美國特殊朋友的到來，使小型社交聚會的氣氛活躍。,聚會；人群的聚集,crowd,,gather（集合）加 -ing 形成名詞 gathering，表示聚會、人群的聚集。,75,,5
generate,verb,The quarrel generated in rivalry between the two families.,此爭吵是因兩家不和所導致。,使產生；導致,produce; create,,字根 gen 表「產生、種類、種族」，-ate 為動詞字尾，generate 表示使產生、導致。,75,,5
generator,noun,The auxiliary generator can shut off automatically.,這台備用發電機能自動停止運轉。,發電機；產生器,engine; machine,,generate（產生）去掉 e 加表示「人或物」的 -or，形成 generator，表示發電機、產生器。,75,,3
genetic,adjective,"Finally, he chose genetic engineering to be his lifelong career.",他最後選擇遺傳工程學作為終生事業。,起源的；基因的；遺傳學的,,,gene 意為「基因」，加形容詞字尾 -tic，形成 genetic，表示基因的、遺傳學的。,75,,3
genetics,noun,He is known for his work on radioactivity and genetics.,他在放射線及遺傳學的研究聞名於世。,遺傳學,,,gene 意為「基因」，加 -ics 表「……學科」，形成 genetics，表示遺傳學。,75,,5
glamorous,adjective,"Though your job is not a very glamorous one, it does have its moments.",你的工作雖不是非常吸引人，但也有一點樂趣。,有魅力的；吸引人的,fascinating; charming,,glamour（魅力）加形容詞字尾 -ous，形成 glamorous，表示有魅力的、吸引人的。,75,,3
glamour,noun,She added a touch of glamour by wearing a beautiful dress for the dinner party.,她為了晚宴換上漂亮衣服，增添一分魅力。,魅力；魔力,mystique,,可把 glamour 和 grammar 一起聯想：對語言學習者而言，grammar 是缺乏 glamour 的科目。,75,,5
glare,verb,"He didn't shout or swear, but just stood there and glared silently at me.",他不喊不罵，只是站在那裡，默默地怒視著我。,怒視；盯視,stare,,glare 可與 glaze（釉料）聯想；像把視線黏住般盯著看，因此表示怒視、盯視。,75,76,5
glassware,noun,This is a kind of glassware that bears a decorative surface network of fine cracks.,這是一種表面附有細緻紋圖案的玻璃器皿。,玻璃器皿,,,glass 意為「玻璃」，ware 意為「製品、器具」，合起來形成 glassware，表示玻璃器皿。,76,,5
gleam,verb,Their eyes are gleaming with anticipation and excitement.,他們的眼裡流露著期待和激動。,發出微光；流露,shine; glow,,gleam 可與 glean（拾落穗）聯想：農夫一邊 glean，一邊眼神 gleam。,76,,3
glisten,verb,I could see her eyes glistening with tears.,我能看到她眼中的淚水在閃爍。,閃爍；閃耀,sparkle; glitter,,glisten 由 glist（閃光）加 -en 形成動詞，表示閃爍、閃耀。,76,,5
glitter,verb,All that glitters is not gold.,那些閃光的東西全都不是黃金。,閃爍；閃耀；閃光,,,glitter 可拆成 g + litter（廢棄物）聯想：玻璃在廢棄物中也會閃閃發光。,76,,3
gloom,noun,"In the gathering gloom, we couldn't see anything distinctly.",光線越來越暗，我們什麼都看不清楚。,昏暗；陰暗,dimness; obscurity,,gloom 可與 bloom（開花）聯想：植物即使在 gloom 中生長也能 bloom。,76,,3
gloomy,adjective,Why are you always so gloomy? Cheer up!,你為什麼總是這麼憂愁？振作起來吧！,陰暗的；憂鬱的,dark; dim,bright,gloom 是名詞「昏暗、憂鬱」，加 -y 形成形容詞 gloomy，表示陰暗的、憂鬱的。,76,,3
goalkeeper,noun,"The real hero of the match was our goalkeeper, who brought off a superb save.",比賽中真正的英雄是我們的守門員，他漂亮地救了險球。,守門員,,,goal 表「球門」，keeper 表「看守人」，合起來形成 goalkeeper，表示守門員。,76,,5
grammatical,adjective,In general a grammatical clause should contain a subject and a predicate.,一般來說，一個符合文法的子句應有主詞與謂語。,符合文法規則的,,,grammar（文法）去掉 r 加 -tical 形成形容詞 grammatical，表示文法的、符合文法規則的。,76,,5
graph,noun,This graph shows how the number of road accidents has increased over the last five years.,這個曲線圖顯示過去五年來公路車禍數字的增長。,圖表；曲線圖,diagram; chart,,graph 可與 grasp 聯想：為了使人 grasp 大意，會用 graph 詳細說明。,76,,5
graphic,adjective,The newspaper article gave a graphic account of the battle.,報導對於戰鬥的描述非常生動。,圖解的；生動的,pictorial; vivid,,graph 意為「圖表、圖解」，加形容詞字尾 -ic，形成 graphic，表示圖解的，亦可引申為生動的。,76,77,4
grasshopper,noun,We hadn't seen a grasshopper for years since we moved into the city.,自從搬進城裡以後，我們有好幾年沒見過蚱蜢了。,蝗蟲；蚱蜢,,,grass 意為「草」，hopper 表「跳躍者」，合起來形成 grasshopper，可聯想為在草間跳躍的昆蟲。,77,,3
grassy,adjective,We slid down the grassy slope of the hill.,我們順著山丘的草坡滑下去。,長滿草的,,,grass 意為「草」，加形容詞字尾 -y，形成 grassy，表示長滿草的。,77,,5
greed,noun,It's his greed for money that led him into crime.,對金錢的貪婪使他步入犯罪。,貪心；貪婪,avarice; cupidity,,greed 可與 grease（賄賂）聯想：貪心的人可能因 grease 而犯罪。,77,,5
grim,adjective,They looked grim; I could tell something was wrong.,他們表情嚴肅，我就知道出事了。,冷酷；嚴厲的；可怕的,stern; strict,mild; gentle,grim 與 brim（邊緣）的拼寫接近，可聯想行走在犯罪 brim 的生活是 grim。,77,,5
grip,verb,The frightened child gripped his father's hand.,這個受驚的孩子緊緊地抓住他爸爸的手。,緊抓；緊握,seize; hold,loosen,grip 可與 rip（撕破）聯想：小女孩 grip 媽媽的裙襬，把裙子給 rip 了。,77,,5
groan,verb,She groans inwardly as she sees the fresh pile of work on her desk every day.,她每天看到辦公桌上有一堆工作就暗自嘆息。,嘆息；抱怨；受苦,moan; wail,,gro 可聯想 grow（種植），加 -an 作動詞字尾；農夫種植花草太累時會 groan。,77,,3
groove,noun,The old man's life runs in a groove.,那位老人過著老套的生活。,溝；槽；習慣；老套,furrow,,groove 可與 grove（小樹林）聯想：在兩座 grove 之間有一道山溝 groove。,77,,5
grope,verb,They blew out the candle and then groped their way into bed.,他們吹滅了蠟燭之後摸黑上床。,摸索；探索,fumble,,grope 可由 grip（抓住）與 rope（繩子）聯想，表示抓住繩子向前走，因此有摸索、探索之意。,77,,
gross,adjective,"Our gross sales last year was up to $500,000.",去年我們的總銷售額達到五十萬元。,總的；毛的,whole; entire,,gross 與 glass（玻璃）拼寫接近，可聯想賣 glass 一年的 gross 收入為一百萬台幣。,77,,5
