word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
incense,verb,The kind people became incensed at his cruelty.,,,激怒；使憤怒,,,,331,,4
incidence,noun,This city has a high incidence of crime.,,,發生率；影響範圍,,,,331,,4
incidental,adjective,"Besides the cost for books and training expense, we should also pay incidental expenses.",,,附帶的；伴隨的；非主要的,,,,331,,4
incidentally,adverb,Many people here have two jobs. He is by profession a lawyer and incidentally a writer.,,,附帶地；偶然地；順便提及,,,,331,,4
incumbent,adjective,It's incumbent for the volunteers of the association to help the poor.,It is incumbent on the volunteers of the association to help the poor.,,有職責的；義不容辭的；現任的,,,,331,,5
indictment,noun,"He came to the court, bringing an indictment against his father.",,,控告；告發；起訴,,,,331,,5
indignant,adjective,She was indignant for the unfair treatment he received in the company.,She was indignant at the unfair treatment he received in the company.,,憤怒的；憤慨的,,,,331,,4
indignation,noun,Your actions will arouse the public indignation.,Your actions will arouse public indignation.,,憤怒；憤慨；義憤,,,,331,,4
indispensable,adjective,Water and air are indispensable for our lives.,,,必不可少的；必需的；責無旁貸的,,,,332,,4
inertia,noun,I'm unable to throw off this feeling of inertia.,,,慣性；遲鈍；懶惰,,,,332,,5
inevitably,adverb,He will inevitably get a better job.,,,不可避免地；必然地,,,,332,,4
infantry,noun,"Before retiring from the army, he was a member of the infantry.",,,步兵部隊；步兵團,,,,332,,4
infectious,adjective,The patient with an infectious disease should be isolated from the public.,,,傳染性的；有感染力的,,,,332,,4
inflict,verb,Our team inflicted a crushing defeat on our opponent.,,,給予（打擊）；使遭受；強加,,,,332,,5
ingenious,adjective,This ingenious device was invented by a senior technician.,,,機靈的；有獨創性的；精巧的,,,,332,,5
ingenuity,noun,Einstein showed ingenuity in his inventions from his childhood.,,,機靈；獨創性,,,,332,,5
inhibit,verb,Strict rules inhibit students' creativity.,,,禁止；約束；抑制,,,,332,,5
inhibited,adjective,"In the new environment, the boy became inhibited.",,,拘謹的；內向的；受抑制的,,,,333,,4
inhibition,noun,Inhibition of natural impulses may cause psychological problems.,,,抑制；拘束,,,,333,,5
initiative,noun,"As soon as he settled in the firm, the new manager took the initiative to try to solve the problem.",,,主動；進取心；倡議,,,,333,,5
inlet,noun,This device should work with the inlet and outlet straightaway.,,,進口；入口；水灣,,,,333,,4
inmate,noun,The prison can house hundreds of inmates.,,,同住者；室友；囚犯,,,,333,,4
inning,noun,The Yankees scored 5 runs in the first inning.,,,局（棒球）,,,,333,,4
innumerable,adjective,"On Christmas Eve, there was an innumerable number of people along this street.","On Christmas Eve, there were innumerable people along this street.",,無數的；數不清的,,,,333,,4
insecticide,noun,The vegetable with insecticide is not edible.,Vegetables treated with insecticide should be washed before eating.,,殺蟲劑,,,,333,,5
instability,noun,During that period the country was experiencing political instability.,,,不穩定；不穩固；變化無常,,,,333,,5
instantaneous,adjective,His response to the criticism was instantaneous.,,,瞬間的；即時的,,,,334,,4
instrumental,adjective,They took an instrumental role in the establishment of the association.,They played an instrumental role in establishing the association.,,有幫助的；器械的；儀器的,,,,334,,5
insulate,verb,Pregnant women should be insulated from this area.,Pregnant women should be kept away from this area.,,隔離；使孤立,,,,334,,4
intact,adjective,"For many years after his death, his parents still kept his room intact.",,,原封不動的；完整無缺的,,,,334,,4
integrity,noun,The judge is famous for his integrity.,,,正直；誠實；完整,,,,334,,5
intelligible,adjective,The instructions for use of this device should be intelligible to the public.,,,可理解的；明瞭的；清晰的,,,,334,,5
intensity,noun,"Before the match, the sportsmen increased the intensity of training.",,,強烈；劇烈；強度,,,,334,,4
inter,verb,Thomas was interred next to his grandmother.,,,埋；葬,,,,334,,5
interim,adjective,This is only an interim arrangement.,,,間歇的；暫時的,,,,334,,4
