word,part_of_speech,example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
alleged,adjective,The alleged suspect ran away last night and now everybody thinks he must be guilty.,那個可疑的嫌犯在昨晚逃跑了，現在每個人都認為他一定有罪。,聲稱的；被斷言的；可疑的,affirmed; asserted,,alleged 由 allege 加 -d 而成，表示聲稱的、被指稱的。,261,,5
allergic,adjective,I like roses but unfortunately I'm allergic to them.,我喜歡玫瑰花，但不幸的是我對玫瑰花過敏。,過敏的；對……極討厭的,,,allergic to 表對…過敏，也可比喻非常厭惡。,261,,5
allergy,noun,I'm sneezing but I don't have a cold; it's just an allergy.,我在打噴嚏，但我沒有感冒，那只是過敏。,過敏症；厭惡；反感,hypersensitivity; sensitivity,,allergy 指過敏反應。,261,,5
alleviate,verb,Research shows that singing can alleviate stress.,研究顯示唱歌能減輕壓力。,減輕；緩和,relieve; assuage,,alleviate 表減輕痛苦、壓力或問題。,261,,5
alligator,noun,You won't find any alligators here; they usually live in hot and wet areas.,你在這兒看不到短吻鱷，牠們通常生活在濕熱地帶。,短吻鱷；鱷魚皮,,,alligator 指短吻鱷。,261,,4
alloy,noun,Television news is an alloy of journalism and show business.,電視新聞是新聞和表演的結合體。,合金；摻雜物,admixture; composite,,alloy 可指金屬合金，也可比喻混合物。,261,,5
almond,noun,The young girl who has a pair of almond eyes is very charming.,那個有一雙杏眼的年輕女孩很有魅力。,杏仁；杏樹,,,almond 指杏仁，也可形容杏仁狀。,261,,3
alternatively,adverb,You can go shopping with us, or alternatively, you can wait for us at home.,和我們去購物還是在家等我們，你可以二者擇一。,二者擇一地,instead; or else,,alternatively 表或者、作為另一選擇。,261,,5
amends,noun,The company didn't make amends to him for his loss so he sued the company.,公司沒有賠償他的損失，所以他就控告公司。,賠罪；賠償,reparation; redress,,make amends 表賠罪、賠償。,261,262,5
ammunition,noun,They were well equipped with weapons and ammunition and were ready to set off.,他們已經裝備好了武器和彈藥，隨時待命出發。,彈藥；軍火,ammo; powder,,ammunition 指彈藥、軍火。,262,,5
amnesty,noun,The public demonstrated, demanding a blanket amnesty for the strikers.,民眾示威遊行，要求對罷工者全部赦免。,大赦；特赦,absolution; forgiveness,,amnesty 指大赦、特赦。,262,,4
ample,adjective,I have ample reason to believe he is innocent.,我有充足的理由相信他是無辜的。,寬大的；富裕的；充足的,adequate; spacious,few; scanty,ample 表充足、寬裕的。,262,,5
analogy,noun,Drawing analogies is one way of giving examples.,畫出相似的東西是舉例的一種方式。,相似；類似,analogousness; parallelism,,analogy 指相似性或類比。,262,,4
analytical,adjective,If you are puzzled, you can consult Tom. He has an analytical mind.,如果你有疑問可以請教 Tom，他有善於分析的頭腦。,分析的；解析的,analytic,,analytical 指善於分析或分析性的。,262,,5
anchor,verb,You cannot anchor all your hopes in your father's help; instead, you should depend on yourself.,你不能把全部的希望都繫在你父親身上，相反地，你應該靠自己。,拋錨停泊；使固定；繫住,fasten; secure,,anchor 可作動詞表示固定、使停泊。,262,,5
anecdote,noun,Anecdotes about the princess are so interesting that you must ask him to tell you about them some day.,關於公主的軼事非常有趣，你改天一定要他說給你聽。,軼事；奇聞,episode; tale,,anecdote 指短小有趣的軼事。,262,,4
anonymous,adjective,The author chooses to remain anonymous because she wants to live a simple life.,作者選擇保持匿名，因為她想過簡單的生活。,匿名的；無特色的,unnamed; unknown,,anonymous 指未署名、匿名的。,262,263,4
antenna,noun,Ask your father to adjust the antenna; the reception is not so good.,叫你父親調整一下天線，因為接收效果不怎麼好。,（動物的）觸角；天線,,,antenna 指天線或昆蟲觸角。,263,,5
anthem,noun,Most people get excited whenever they hear the playing of their national anthem.,大多數人一聽到國歌的演奏，都很激動。,聖歌；讚美詩；國歌,hymn,,anthem 常指國歌或讚美詩。,263,,3
antibiotic,noun,This factory makes antibiotics, which are substances that kill germs.,這個工廠生產抗生素，抗生素是一種殺菌物質。,抗生素,,,antibiotic 指抗生素。,263,,5
antibody,noun,The doctor told him our bodies can produce antibodies which protect us from disease.,醫生告訴他我們的身體可產生抗體，抗體可以保護我們免受疾病侵襲。,抗體,,,antibody 指免疫系統產生的抗體。,263,,5
antonym,noun,"""Tall"" is the antonym of ""short"".",「高」是「矮」的反義字。,反義字,synonym,,antonym 指反義詞。,263,,5
apartheid,noun,Racial discrimination was institutionalized after the apartheid laws were enacted in 1948 in South Africa.,南非於1948年頒佈種族隔離法，從此種族歧視被制度化。,種族隔離政策；分離,segregation,,apartheid 指歷史上的種族隔離制度。,263,,5
apparatus,noun,Of course they had special breathing apparatus, otherwise, they wouldn't have been able to survive in space.,他們當然有特殊的呼吸裝置，要不然在太空中就不能存活。,儀器；裝置；器官；機構,equipment; implement,,apparatus 指設備、裝置；通常作集合或不可數概念使用。,263,,5
appendix,noun,Check the appendices of the dictionary. Maybe you will find what you want.,查看一下字典的附錄，也許會找到你想要的東西。,附錄；附件；盲腸,addition; adjunct,,appendix 的複數可為 appendices。,263,,4
appraisal,noun,Potential Motivational Appraisal is an assessment that defines the motivational levels of a person.,個人潛力激發生涯評估是一種評定一個人激發層次的方式。,評價；評估；鑑定,estimation; evaluation,,appraisal 指評價、評估或鑑定；由 appraise 衍生而來。,263,264,5
appreciable,adjective,He is no longer our manager, so he cannot exert any appreciable influence upon us.,他不再是我們的經理，因此不能對我們產生很大的影響力。,可估計的；可察覺的；相當可觀的,appraisable; calculable,incalculable,appreciable 常指大到足以被察覺或重視的。,264,,5
apprehension,noun,All the competitors waited for the result of the contest with a great deal of apprehension.,所有的參賽者都非常憂慮地等待比賽的結果。,憂慮；逮捕；理解,anxiety; understanding,,apprehension 可指憂慮，也可指理解或逮捕。,264,,5
apprentice,noun,I have been working as an apprentice for her for 2 years, but she taught me nothing.,我當她的徒弟已經兩年了，但她沒有教我任何東西。,學徒；見習生；初學者,learner; prentice,expert; teacher,apprentice 指跟著師傅學習技藝的人。,264,,5
approximate,adjective,It's only an approximate estimate.,這只是一個大概的估計。,近似的；接近的；大概的,about; near,exact,approximate 作形容詞表示大概的、近似的。,264,,5
arbitrary,adjective,The father suggested that his daughter should not marry that arbitrary man.,父親建議女兒不要和那個專斷的人結婚。,武斷的；專斷的；隨心所欲的,subjective; dictatorial,,arbitrary 常指任意的、專斷的。,264,,5
arc,verb,He saw a swallow arc the sunset sky and disappear.,他看到一隻燕子呈弧線飛過日落的天空，然後消失不見。,循弧線行進；呈弧形,,,arc 可作動詞，表示沿弧線移動。,264,,4
archaeology,noun,This popular magazine provides the latest news in archaeology from around the world.,這本熱門雜誌提供來自世界各地最新的考古資訊。,考古學,,,archaeology 指研究古代人類與遺物的學科。,264,,5
architectural,adjective,This institution supplies sample images of the dominant architectural styles found throughout the world.,這個機構提供世界各地主要建築風格的樣品圖像。,建築的；建築學的；建築術的,,,architectural 來自 architect，表示建築相關的。,264,265,5
archive,noun,The celebrity archive which is available online dates back to 1867.,這份可在線上查閱的名人檔案可追溯到1867年。,檔案；文件；記錄,file; record,,archive 指保存的歷史資料、文件或記錄。,265,,4
arena,noun,She entered the political arena after her husband abandoned her.,她的丈夫拋棄她之後，就走進了政治舞台。,競技場；舞台；領域,coliseum; amphitheatre,,arena 也常比喻競爭或活動的領域。,265,,4
armor,noun,If the nation had armored themselves against a possible attack, they would not have been defeated.,如果該國能做好防禦，就不會遭到打敗。,盔甲；裝甲；防護,,,armor 指盔甲、裝甲，也可比喻防護。,265,,5
armored,adjective,This company can provide armored cars and bullet proof vehicles.,該公司可供應裝甲車和防彈車。,裝甲的；披甲的,,,armored 表示有裝甲或防護的。,265,,5
